model,``,our,advice,to,garc,is,to,reconsider,their,planned,parade,this,friday,to,take,a,step,back,and,act,in,the,interests,of,peace,in,our,community,.
church,-1,-1,0.2405143223057652,-1,-0.05146450670696456,-1,-1,0.14490466731301033,-1,0.24313512790915548,0.3635989698759392,-1,0.34815263993240564,-1,0.2340118840414045,-1,0.169958130748053,-1,-1,0.2767082607754249,-1,-1,0.3488454051639094,-1,0.2051385509253556,-1,-1,0.466795650246991,-1
leaders,-1,-1,0.32072289268071863,-1,-0.010705091075452922,-1,-1,0.20540220678720378,-1,0.2896697103766659,0.16233382830443066,-1,0.4566099176306919,-1,0.3860417586777707,-1,0.3184191853481444,-1,-1,0.1953805374901857,-1,-1,0.3690984364637555,-1,0.31478058004205756,-1,-1,0.56608736716048,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,0.46390024343515446,-1,0.01268568482169774,-1,-1,0.29783011021605876,-1,0.20169519895946875,0.08687866282594237,-1,0.25659018248484156,-1,0.23035336794956485,-1,0.1894939611091353,-1,-1,0.3403511832303451,-1,-1,0.1896033439036955,-1,0.220797799415122,-1,-1,0.27587528484626067,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,0.15245801883370458,-1,0.3462326721410929,-1,-1,0.1478777930812616,-1,0.134883632944251,0.17119699082339923,-1,0.14376912278360754,-1,0.12131431363983225,-1,0.12714743670973883,-1,-1,0.15241155248911586,-1,-1,0.2837062386834275,-1,0.20582884484994124,-1,-1,0.4406985039047524,-1
residents,-1,-1,0.42492558406039804,-1,0.014173299386405214,-1,-1,0.27589438064094796,-1,0.3729407398739656,0.20662039878544636,-1,0.43986575768181757,-1,0.38426058680561126,-1,0.22654418010280108,-1,-1,0.24737626476056007,-1,-1,0.2692859092669794,-1,0.18541246108584353,-1,-1,0.6351880177188854,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,0.6214112237263416,-1,-0.006157037211411254,-1,-1,0.34815786980775854,-1,0.3727571777113081,0.22452381366277796,-1,0.5567561998302529,-1,0.5054904663366091,-1,0.46591017102368437,-1,-1,0.46160031701962567,-1,-1,0.2731435893186027,-1,0.263939328604178,-1,-1,0.47565981375874666,-1
off,-1,-1,0.22135446883111665,-1,-0.01580001835058842,-1,-1,0.1077796654364701,-1,0.2895124063958283,0.3110265759444941,-1,0.45251934168742913,-1,0.4355427057170286,-1,0.3883716333073981,-1,-1,0.18816025461295616,-1,-1,0.1797094885124354,-1,0.18406150133522958,-1,-1,0.25704477758259214,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
