model,'',the,sdlp,has,not,added,its,name,to,the,advert,.
church,-1,-1,0.289847336572703,-1,-1,0.28086595143809734,-1,0.3319004178793441,-1,-1,0.03387638864142506,-1
leaders,-1,-1,0.2756748038870386,-1,-1,0.3133770727973645,-1,0.3170778389728408,-1,-1,0.04366644154702426,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,0.13083751739967453,-1,-1,0.32540431133660763,-1,0.2022034075794078,-1,-1,0.18075430708440177,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,0.740440972682214,-1,-1,0.1812148967481252,-1,0.2010693776369764,-1,-1,0.11014725357340649,-1
residents,-1,-1,0.18758867448115923,-1,-1,0.369251632564493,-1,0.30309266508871235,-1,-1,0.13701484878788128,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,-0.08508374783654071,-1,-1,0.4809673582578783,-1,0.6060380489653614,-1,-1,0.3856527350809895,-1
off,-1,-1,0.08613623225682865,-1,-1,0.3670512674394082,-1,0.4108639742488611,-1,-1,0.24779699143518386,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,0.12405054982756392,-1,-1,0.15270848776105905,-1,0.28009679213641414,-1,-1,0.1679307062858305,-1
against,-1,-1,0.17016266288692594,-1,-1,0.30235389097643184,-1,0.3252514197252291,-1,-1,0.052697414136538834,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,0.35862074299571867,-1,-1,0.1275011992009747,-1,0.24804116734255488,-1,-1,0.16890540557987055,-1
order,-1,-1,0.11859937441997159,-1,-1,0.3799948312315494,-1,0.4722293628955787,-1,-1,0.24284211352560403,-1
parade,-1,-1,0.11031216871186467,-1,-1,0.10099079897934071,-1,0.16701283249628285,-1,-1,0.19528392376988613,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,-1,-1,0.4187359860254227,-1,-1,0.4113564541930701,-1,0.3040678645714,-1,-1,0.028326680586206465,-1
belfast,-1,-1,0.5355750209620977,-1,-1,0.4166229172477318,-1,0.32050709136629263,-1,-1,0.1206223165191227,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
