model,among,the,signatories,are,politicians,academics,and,sporting,organisations,as,well,as,the,catholic,bishop,of,down,and,connor,noel,treanor,and,the,church,of,ireland,bishop,of,connor,alan,abernethy,.
church,0.30433705906496744,-1,0.030628084482604345,-1,0.38843282999737294,0.2406582479778423,-1,0.1583690572177039,0.2913108118431169,-1,0.3035139864699298,-1,-1,0.7295679025779972,0.4861594267820766,-1,0.30566264673944765,-1,0.10565766716678693,0.08735965065247919,-0.12466436416278848,-1,-1,1.0,-1,0.5186246419308662,0.4861594267820766,-1,0.10565766716678693,0.17010110343572327,-0.2595687011659784,-1
leaders,0.466611242952099,-1,0.18011793975377122,-1,0.6814155297110743,0.45952241944361005,-1,0.28986145357961723,0.5206584697835881,-1,0.3269921862683536,-1,-1,0.42206969340398093,0.21071698192681687,-1,0.27695492100592745,-1,0.020809293426226838,-0.07055711614109117,-0.31536056260134937,-1,-1,0.4161824272127934,-1,0.47733828825772195,0.21071698192681687,-1,0.020809293426226838,0.15269077508229967,-0.3918347973956222,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,0.11957731823765605,-1,0.10053787116983415,-1,0.36421248757188074,0.3033726981623741,-1,-0.07424226164426218,0.3383888418721773,-1,0.21457757647453057,-1,-1,0.06701374361588786,0.16244406917817078,-1,0.24957454679920388,-1,0.14209270728723455,0.08651157180388247,-0.15261329767381793,-1,-1,0.16056591369114115,-1,0.27321557247231953,0.16244406917817078,-1,0.14209270728723455,0.2741431518048897,-0.2415487747899141,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,0.28736625222656986,-1,0.0678036967781167,-1,0.3627707868090331,0.3528117861501159,-1,0.12562281577628776,0.32627925308452,-1,0.1127659354275713,-1,-1,0.6291703343822993,0.7139578907199337,-1,0.14368193555846787,-1,0.59138201708649,0.34531725638238686,0.11752702540283555,-1,-1,0.35787879175798176,-1,0.27760906893768933,0.7139578907199337,-1,0.59138201708649,0.33173834772989896,-0.1268768893377752,-1
residents,0.5322258376853096,-1,0.3386881860327464,-1,0.5520001443279199,0.44948155290971625,-1,0.137714588847215,0.5521744456558416,-1,0.2517110750357259,-1,-1,0.3395941824388591,0.21137474354298935,-1,0.30758988370192153,-1,0.10781882403159548,-0.026347786416674346,-0.30460800172069735,-1,-1,0.38863999221498946,-1,0.3914562510754809,0.21137474354298935,-1,0.10781882403159548,0.17096361269582794,-0.41213816393490266,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,0.3628003463190328,-1,0.15406949094683342,-1,0.5464660324755312,0.1815919787649689,-1,0.24255478140237452,0.4055941718002959,-1,0.3886802128889437,-1,-1,0.11654241100807139,0.07994502564087935,-1,0.3974176184999705,-1,-0.09732363077157213,0.00504378928202498,-0.4581443602299331,-1,-1,0.32284665447966154,-1,0.3786788580917839,0.07994502564087935,-1,-0.09732363077157213,0.13854177113484456,-0.5169227734491733,-1
off,0.25687099903093635,-1,-0.0009468009432205271,-1,0.28565645575923004,0.08754425233908525,-1,0.10393191611247188,0.2021358763808221,-1,0.4409756711782433,-1,-1,0.16346423397811471,0.18311726239391302,-1,0.5388491903324136,-1,0.13549941196510829,-0.015238989808948222,-0.2894016224665883,-1,-1,0.25256408999874624,-1,0.31916395115771656,0.18311726239391302,-1,0.13549941196510829,0.14811147893079102,-0.3909232171545711,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,0.3845684368730984,-1,0.12285856058805866,-1,0.48226995798550965,0.2535540820890103,-1,0.3094803698475219,0.35702833900653963,-1,0.20674806646394672,-1,-1,0.26894029181259826,0.16240518086785627,-1,0.36532357532066617,-1,-0.048391210817168906,-0.010541779026743248,-0.3932764105183999,-1,-1,0.38987111541029185,-1,0.36648792599084845,0.16240518086785627,-1,-0.048391210817168906,0.012471209881836809,-0.3751377381858447,-1
against,0.29742444842501947,-1,-0.0198793498897738,-1,0.37694662470551066,0.1714168136489218,-1,0.17026026773036007,0.37293036208552377,-1,0.4020486985563205,-1,-1,0.18595041854478855,0.19320978352797236,-1,0.3846266786216216,-1,0.13647280594307043,-0.02395941960158887,-0.3559413057539422,-1,-1,0.23659197727949166,-1,0.5186013768830763,0.19320978352797236,-1,0.13647280594307043,0.2395976799885804,-0.39744140075916934,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,0.020936273180699128,-1,-0.05103409365113598,-1,0.055958976690058004,0.0565295882727368,-1,0.11463564445848384,0.19415820819452678,-1,0.0633851899798421,-1,-1,0.3952614369831071,0.3536101668991215,-1,0.18023070154096132,-1,0.3517634976740682,0.033169476415095045,-0.19474034176145705,-1,-1,0.30483161035410977,-1,0.26978693234531514,0.3536101668991215,-1,0.3517634976740682,0.21447763611339754,-0.19144781721266635,-1
order,0.27195149022696574,-1,0.11817457083412297,-1,0.3741551254089279,0.10555856555615883,-1,0.05995462155824549,0.4197261493928218,-1,0.3057937416879446,-1,-1,0.2099115161763767,0.14510926216416276,-1,0.3769394423858996,-1,0.13732119480612992,-0.17313385510152246,-0.43008762317291116,-1,-1,0.29025554131791376,-1,0.4687238361045487,0.14510926216416276,-1,0.13732119480612992,0.08912874185883557,-0.43259199050600605,-1
parade,0.02121849985087132,-1,-0.09888421548829229,-1,0.1190143212568624,0.044035351384682286,-1,0.24861097320878534,0.11613873942144526,-1,0.09417829317584525,-1,-1,0.2529666278517494,0.17280473736765667,-1,0.20120205971889338,-1,0.10417195054111805,0.009392906171668436,-0.32093884682442564,-1,-1,0.3635989698759392,-1,0.20936045386924484,0.17280473736765667,-1,0.10417195054111805,0.07513362858468442,-0.2008789363260024,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
north,0.3150717470251756,-1,-0.08722495874220915,-1,0.3601995120945378,0.19879045415518326,-1,0.18331760127579766,0.4496720751083474,-1,0.39960070265892544,-1,-1,0.33936228648765054,0.3507697785677504,-1,0.4309069161697684,-1,0.257836052532715,-0.021376775014685157,-0.3033352010597623,-1,-1,0.36442971779695066,-1,0.5131498938448729,0.3507697785677504,-1,0.257836052532715,0.31379623092827447,-0.3650699704642717,-1
belfast,0.3117076915531817,-1,-0.032953430176227316,-1,0.3052227765918043,0.2336799217834269,-1,0.2213379937855937,0.4219167625821547,-1,0.3140787428577215,-1,-1,0.45736944863788387,0.5132578489245189,-1,0.3439409803947282,-1,0.3088991541809517,-0.006102128333882906,-0.3443099267132006,-1,-1,0.446698084200312,-1,0.5130240432618712,0.5132578489245189,-1,0.3088991541809517,0.4083218194982966,-0.3052352616818279,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
