model,'',the,parades,commission,has,granted,permission,for,garc,to,hold,their,parade,on,friday,evening,subject,to,a,number,of,conditions,-,including,directing,it,away,from,``,part,of,the,notified,route,between,ardoyne,road,or,crumlin,road,'',.
church,-1,-1,0.028125783583438646,0.17654488515797506,-1,0.22131386896191851,0.1907954837022734,-1,-0.05146450670696456,-1,0.3063487788987509,-1,0.3635989698759392,-1,0.34815263993240564,0.282639895006066,0.3025328871348264,-1,-1,0.19541871703743485,-1,0.1569722602774396,-1,0.34741052191350463,0.1436883980986119,-1,0.28201502140070134,-1,-1,0.38561867859740107,-1,-1,0.22879399844353243,0.2420816110477182,0.2868104235890926,0.14078496700453824,0.2946315596935305,-1,0.10932149432448113,0.2946315596935305,-1,-1
leaders,-1,-1,0.14170934921681178,0.346826970395393,-1,0.19735397107117825,0.18150006972736465,-1,-0.010705091075452922,-1,0.43656731077697075,-1,0.16233382830443066,-1,0.4566099176306919,0.36267067050738255,0.3487894804641687,-1,-1,0.3946933202432652,-1,0.17546759782984334,-1,0.44639587134389336,-0.034365650605423514,-1,0.37175681270091554,-1,-1,0.4039732399132403,-1,-1,0.14552699940534142,0.20826301571031824,0.3768015936840168,0.08688493757044113,0.2488071950806472,-1,0.0011719991488582382,0.2488071950806472,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,-1,0.147404636571971,0.3550065635311066,-1,0.5228786056380175,0.4937141890533119,-1,0.01268568482169774,-1,0.2449331132590371,-1,0.08687866282594237,-1,0.25659018248484156,0.22527605316198884,0.320776957933373,-1,-1,0.1546467749586874,-1,0.1658177310503508,-1,0.20416919535505273,0.2173899247448674,-1,0.24778269930766939,-1,-1,0.15421892246992663,-1,-1,0.43986115207230325,0.09274627532686819,0.14153494587883886,-0.026234772912325344,0.13481730954985327,-1,-0.0784629419358489,0.13481730954985327,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,-1,0.08256373119520832,0.22895590001131294,-1,0.12223634422244845,0.05482169985582663,-1,0.3462326721410929,-1,0.20051431538244902,-1,0.17119699082339923,-1,0.14376912278360754,0.002866304758910254,0.16916932581816557,-1,-1,0.17327537130504211,-1,0.027323001895786625,-1,0.31826171282200055,0.15488690092298407,-1,0.061232037949345175,-1,-1,0.24605371142971022,-1,-1,0.14420331563878286,0.12984658384307413,0.18728184132048709,0.5207648779799431,0.1065619610614702,-1,0.19769371875151176,0.1065619610614702,-1,-1
residents,-1,-1,0.0925901573208121,0.2963019415906414,-1,0.38143108582867036,0.339269628083571,-1,0.014173299386405214,-1,0.3884861874961545,-1,0.20662039878544636,-1,0.43986575768181757,0.3983994097588315,0.40236419598176343,-1,-1,0.4051002149767051,-1,0.33587651219092995,-1,0.44635497989164885,0.042314933174508185,-1,0.3497257519606465,-1,-1,0.3865455258983749,-1,-1,0.42363778900619,0.2382273320871683,0.2928097722785201,0.22665551984127663,0.4083097312735684,-1,0.15874715988999555,0.4083097312735684,-1,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,-1,0.1303728218738004,0.4165241232516007,-1,0.4931611306433923,0.4765012966378517,-1,-0.006157037211411254,-1,0.6007831683139705,-1,0.22452381366277796,-1,0.5567561998302529,0.5879729335679502,0.5068585558595359,-1,-1,0.4459475046571948,-1,0.3253793320295162,-1,0.4016925350491287,0.29235874590977573,-1,0.500338851160196,-1,-1,0.3949457029005101,-1,-1,0.2633434806231889,0.30574154095710826,0.30644634825269623,-0.09933078684252838,0.3176879248926505,-1,-0.0970392007568095,0.3176879248926505,-1,-1
off,-1,-1,-0.06567166331785868,0.1111147081717676,-1,0.28981324652428453,0.25768989647416296,-1,-0.01580001835058842,-1,0.5157087680073108,-1,0.3110265759444941,-1,0.45251934168742913,0.42769261999491237,0.24073855247625364,-1,-1,0.37097512331623017,-1,0.21881521610704047,-1,0.3381811033300819,0.18586402624076082,-1,0.5513587040064616,-1,-1,0.3655616709213757,-1,-1,0.1578438101354276,0.39733812991286155,0.2882606969927559,0.027645265609833602,0.48651038417551007,-1,0.09952828565156402,0.48651038417551007,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protest,-1,-1,0.21868996838689048,0.2697098794874385,-1,0.31069328772720817,0.16192067550833977,-1,-0.0358004162906862,-1,0.42904568047308245,-1,0.42475979530185803,-1,0.5204792641496058,0.5011279170429073,0.32698115032062514,-1,-1,0.21063226816481884,-1,0.21928240891309603,-1,0.3651538789054847,0.155574445913773,-1,0.3473616106063915,-1,-1,0.4860884239220571,-1,-1,0.22646731082792404,0.3260118522922879,0.3056257475656772,0.07740758110239443,0.35697296309604254,-1,0.11133478520743889,0.35697296309604254,-1,-1
against,-1,-1,0.17998133159294938,0.35690129187690856,-1,0.26938935168418643,0.1714906978581956,-1,-0.006464388150241973,-1,0.2957708030817142,-1,0.23198725106469553,-1,0.463834040655982,0.3853002517945867,0.27646408605860284,-1,-1,0.2627615997504924,-1,0.1944853664424404,-1,0.406245761344578,0.14145553554789758,-1,0.40555955782969055,-1,-1,0.3961623883909602,-1,-1,0.11160165710962422,0.14641544448023947,0.3122490461773264,-0.03403035713887048,0.21040730624222725,-1,-0.1006092972154704,0.21040730624222725,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
orange,-1,-1,0.3096991987387867,0.3063655629745924,-1,0.2707547737948942,0.2678354504745133,-1,0.01495437775916697,-1,0.18962886466078055,-1,0.5303173047636928,-1,0.21579597147740603,0.21065419916834272,0.27961363693264296,-1,-1,0.15825704887152792,-1,0.08414844029588608,-1,0.23658004831020518,0.25366053457769655,-1,0.13119338491974186,-1,-1,0.30792800582069,-1,-1,0.060802570371841336,0.2986719040181979,0.16561503893758323,0.25351368893998993,0.3740361205751731,-1,0.35832799065589527,0.3740361205751731,-1,-1
order,-1,-1,0.2875263571865885,0.5175746264765314,-1,0.5911219656995438,0.5498017958089063,-1,-0.0010516849133941353,-1,0.484210119111837,-1,0.3095934427859601,-1,0.3903889644786549,0.3613576488260193,0.5741089097164105,-1,-1,0.4164839827156648,-1,0.3426646844375574,-1,0.40106632590632874,0.29891904136679326,-1,0.3704286006161339,-1,-1,0.44293904871621903,-1,-1,0.20984376604872823,0.28596140607618414,0.3072925646934799,0.036744666624807465,0.35932299571426674,-1,0.03469215791476987,0.35932299571426674,-1,-1
