model,the,greater,ardoyne,residents,collective,-lrb-,garc,-rrb-,is,protesting,against,an,agreement,aimed,at,resolving,a,long-running,dispute,in,the,area,.
church,-1,0.3213149708548414,0.14078496700453824,0.38863999221498946,0.3120090588906813,-1,-0.05146450670696456,-1,-1,0.2459145014341404,0.23659197727949166,-1,0.2186647982720369,0.20783465758158315,-1,0.051796112415099405,-1,0.17334836712968127,0.29502043019978974,-1,-1,0.3389186430325726,-1
leaders,-1,0.41829387511912697,0.08688493757044113,0.5203500369060786,0.2197310614944218,-1,-0.010705091075452922,-1,-1,0.3277906601118399,0.3976668390400757,-1,0.4936689362395795,0.3097950402810379,-1,0.08707644801702252,-1,0.14914108008901195,0.3401325262955395,-1,-1,0.32755783161625984,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appealed,-1,0.32663264332241293,-0.026234772912325344,0.37422627059159996,0.15069908264899157,-1,0.01268568482169774,-1,-1,0.4423791782595865,0.4461437345153827,-1,0.22558956214153536,0.12171637515678901,-1,0.13582822677212236,-1,0.21729769056622306,0.31620001012244014,-1,-1,0.26078780999076456,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nationalist,-1,0.20707551813559388,0.5207648779799431,0.2868341299732835,0.6171654771286406,-1,0.3462326721410929,-1,-1,0.11776979575380175,0.2114241136794588,-1,0.2193801233004653,0.13973496943890218,-1,-0.021257083732194593,-1,0.15857277176700402,0.25498801123290094,-1,-1,0.18918412168161536,-1
residents,-1,0.5025926397193275,0.22665551984127663,1.0,0.20688030434882732,-1,0.014173299386405214,-1,-1,0.4577269750668721,0.21604667745139539,-1,0.2883241870792401,0.24510084267607612,-1,0.06241407958421186,-1,0.04431921470526001,0.2806364196063269,-1,-1,0.58071501536922,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
group,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
call,-1,0.5145973967405374,-0.09933078684252838,0.4873899571148178,0.20881238342914743,-1,-0.006157037211411254,-1,-1,0.22531421679641628,0.30981977698348684,-1,0.48770314351631816,0.28824962937323173,-1,0.11330252601808044,-1,0.2365786029913911,0.41592689554173834,-1,-1,0.4423533695857689,-1
off,-1,0.30818273647144023,0.027645265609833602,0.26814011783424796,0.1443558243723284,-1,-0.01580001835058842,-1,-1,0.15880300260953017,0.2727292387914728,-1,0.31202733126786386,0.1779006010994335,-1,0.017862388622690184,-1,0.06671220539867573,0.24071883889524126,-1,-1,0.3858068520694422,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
