model,he,will,report,his,findings,in,summer,.
the,-1,-1,-1,-1,-1,-1,-1,-1
mayor,-1,-1,0.21201926096071277,-1,0.22189291127622546,-1,0.40238412543579805,-1
of,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,-1,0.2757087828793132,-1,0.26050244509236387,-1,0.4763638210608885,-1
has,-1,-1,-1,-1,-1,-1,-1,-1
appointed,-1,-1,0.36774335420397986,-1,0.34670904539472525,-1,0.4152829907430289,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,0.4332935552866901,-1,0.35295715583784726,-1,0.1662105182384166,-1
expert,-1,-1,0.3784206218990003,-1,0.3358187858263293,-1,0.07985824779580575,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
assess,-1,-1,0.3613887566497471,-1,0.5188360368006111,-1,0.2798125654165582,-1
how,-1,-1,0.4524041100474101,-1,0.5149509462104994,-1,0.3272013726513503,-1
well,-1,-1,0.30835470236392093,-1,0.29792675994493134,-1,0.3436823992939756,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
capital,-1,-1,0.24892135557432793,-1,0.16433035801474238,-1,0.26301713356249723,-1
would,-1,-1,-1,-1,-1,-1,-1,-1
cope,-1,-1,0.1873313097420608,-1,0.1915513088778742,-1,0.26076152804710206,-1
with,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
major,-1,-1,0.2531651313754697,-1,0.24930750777911082,-1,0.3814766685688533,-1
terror,-1,-1,0.253933177376954,-1,0.22944752214105024,-1,0.23137871376705677,-1
attack,-1,-1,0.2726777968407019,-1,0.2585800607299281,-1,0.2543082792837057,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
