model,lord,harris,said,there,was,a,``,developing,threat,picture,'',and,he,would,look,at,whether,current,arrangements,could,be,``,even,more,robust,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayor,0.6505606132530564,0.4918498659374273,-1,-1,-1,-1,-1,0.1176667614858331,0.2212170521393918,0.17527540399268315,-1,-1,-1,-1,0.2858035542907035,-1,0.24601475306413922,0.3302085708346668,0.18412572654260484,-1,-1,-1,0.31216120433159267,-1,0.10005212387095197,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,0.34485890300704414,0.2704014713141203,-1,-1,-1,-1,-1,0.3249372329778615,0.2919549154979104,0.25917626311702113,-1,-1,-1,-1,0.43007699165833424,-1,0.29789121812212327,0.32439244820301416,0.27255035675925054,-1,-1,-1,0.42072943146065456,-1,0.1658120925025488,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appointed,0.4761971235209288,0.45440754552367135,-1,-1,-1,-1,-1,0.2010373393831686,0.21529721946555602,0.24386124882380056,-1,-1,-1,-1,0.24984842474870683,-1,0.25690750749680014,0.4776020498997028,0.2990729897600677,-1,-1,-1,0.3021387244104522,-1,0.23646436922553726,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.3100715558837219,0.1565523062592532,-1,-1,-1,-1,-1,0.3385877805192543,0.5770879805383056,0.28210003637648406,-1,-1,-1,-1,0.38737895532511135,-1,0.38095291500935324,0.5412346275972717,0.5978396786860442,-1,-1,-1,0.3736810343886625,-1,0.45135454904840544,-1,-1
expert,0.25244491954931036,0.31304522000330604,-1,-1,-1,-1,-1,0.21774344140499313,0.3036559852931895,0.3542161753521207,-1,-1,-1,-1,0.338760563128119,-1,0.34441711619280657,0.3321902216955499,0.2912960775186393,-1,-1,-1,0.18391533202430466,-1,0.24436488740602225,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assess,0.11985981117680533,0.14424355651451315,-1,-1,-1,-1,-1,0.352868893522593,0.3547459068447252,0.3804829337142148,-1,-1,-1,-1,0.5059026550061134,-1,0.7383793251137493,0.3664341484580088,0.4970079333215165,-1,-1,-1,0.3973851856013044,-1,0.3742684235056104,-1,-1
how,0.22883162177358263,0.235750202671539,-1,-1,-1,-1,-1,0.40057760031359524,0.3095531247587724,0.5675725460698612,-1,-1,-1,-1,0.6756185832824693,-1,0.7207957729265435,0.4505875952674637,0.42228449447846517,-1,-1,-1,0.6035902074628903,-1,0.33564019265712197,-1,-1
well,0.222996737619779,0.23786063767958399,-1,-1,-1,-1,-1,0.4316828200779762,0.3734490629916797,0.428496799929037,-1,-1,-1,-1,0.5605801564128716,-1,0.3954296998906611,0.4142044142134228,0.34754619683959076,-1,-1,-1,0.5055036878994956,-1,0.3704302734662448,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capital,0.35993660997136845,0.11405395693860743,-1,-1,-1,-1,-1,0.30679658724906045,0.3170769313773584,0.20998096295938962,-1,-1,-1,-1,0.24554585246536775,-1,0.2050966004703545,0.40326531532541177,0.3724780929938186,-1,-1,-1,0.3103514055281609,-1,0.24907607773600582,-1,-1
would,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cope,0.16556546853771215,0.1934771292580565,-1,-1,-1,-1,-1,0.4134456883055072,0.2960440284656949,0.25084451306806366,-1,-1,-1,-1,0.43175771740008384,-1,0.2963852683419066,0.3326862846016836,0.38534538766883963,-1,-1,-1,0.4943553754698624,-1,0.19946650220012607,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
major,0.18211428190637047,0.07653802532683174,-1,-1,-1,-1,-1,0.428010976892514,0.4786070764790096,0.36477268358547976,-1,-1,-1,-1,0.3001598055365602,-1,0.2978078794937955,0.37699633034070346,0.39508676331543735,-1,-1,-1,0.3597629590137721,-1,0.2131900761117166,-1,-1
terror,0.18440762535265665,0.08551239513733755,-1,-1,-1,-1,-1,0.36088276213687953,0.7065139366787399,0.1883027506777245,-1,-1,-1,-1,0.16267613657019075,-1,0.23688301345899365,0.29682683085652706,0.2758266498291426,-1,-1,-1,0.2354538001620078,-1,0.23284994166368977,-1,-1
attack,0.20667334246415825,0.17771596557409652,-1,-1,-1,-1,-1,0.31266585953002946,0.5721850137507271,0.28250854203151865,-1,-1,-1,-1,0.26689070590983777,-1,0.2636020635760399,0.2595446317788416,0.21456041772463819,-1,-1,-1,0.33377411428603376,-1,0.27524332936362006,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
