model,lord,harris,a,former,met,police,authority,chair,and,member,of,the,joint,committee,on,the,national,security,strategy,said,the,review,was,``,timely,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayor,0.6505606132530564,0.4918498659374273,-1,0.5549882341086984,0.4878181276732392,0.28098700157289547,0.3965203421088441,0.40075078780132145,-1,0.40815424963281965,-1,-1,0.23159863224401,0.27134438758591317,-1,-1,0.11746533633357548,0.1784140691318774,0.17096461413272368,-1,-1,0.25952497406978026,-1,-1,-0.08016680415524746,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,0.34485890300704414,0.2704014713141203,-1,0.4579672644361865,0.49468276510016507,0.4196668849227102,0.4856226298725149,0.29548279558648627,-1,0.3857908778106016,-1,-1,0.43052165632523365,0.34636335351886816,-1,-1,0.3109960210505692,0.3266883917225235,0.23707284667414708,-1,-1,0.37197063115511375,-1,-1,-0.09470513243842005,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appointed,0.4761971235209288,0.45440754552367135,-1,0.661746260999976,0.5576562024334353,0.35031372975040576,0.39655350526298605,0.501270650926645,-1,0.5167682069873973,-1,-1,0.43549438365949134,0.39059299649402934,-1,-1,0.3314758640753175,0.3558274908866117,0.3820173329146581,-1,-1,0.47084479780240807,-1,-1,0.06668989785577761,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.3100715558837219,0.1565523062592532,-1,0.4082197246131204,0.578010725460842,0.565747708328155,0.7026790790533664,0.31985048224176116,-1,0.40962352169567806,-1,-1,0.6487851549196869,0.41090803356258254,-1,-1,0.5899099893389874,1.0,0.5524939802170108,-1,-1,0.6305122683024025,-1,-1,0.10813152525457403,-1,-1
expert,0.25244491954931036,0.31304522000330604,-1,0.41698278873393546,0.35472342863559814,0.33037283139730544,0.4222191481485915,0.4204881869990237,-1,0.35447017131259106,-1,-1,0.40406179022103483,0.4105507224195849,-1,-1,0.39644732645739744,0.5495377381338585,0.39529074608509895,-1,-1,0.49652878612311735,-1,-1,0.1432969548667038,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assess,0.11985981117680533,0.14424355651451315,-1,0.09971723573082447,0.3655992605912637,0.33763188252885223,0.3846948671119108,0.20049371534635385,-1,0.21574134198952677,-1,-1,0.3423825034247472,0.27400445514373817,-1,-1,0.23265773938368395,0.34816011223690246,0.3899563029381381,-1,-1,0.5408132354992624,-1,-1,0.31774621511212087,-1,-1
how,0.22883162177358263,0.235750202671539,-1,0.2920792423948091,0.4874182812463108,0.3763803077288228,0.39897220203731465,0.21378689458893174,-1,0.2740523876241403,-1,-1,0.3331587328008697,0.2675306431053708,-1,-1,0.30499517860903835,0.37913098230002373,0.41127612787994283,-1,-1,0.5115767747754317,-1,-1,0.1591915432754527,-1,-1
well,0.222996737619779,0.23786063767958399,-1,0.3299811062355241,0.4715544315447586,0.2762498006527374,0.3478454407915842,0.2443428438533013,-1,0.31518794829201435,-1,-1,0.2958706641575708,0.23587561651776823,-1,-1,0.35525552725977283,0.38865450685950687,0.3747038862143508,-1,-1,0.35614557777302647,-1,-1,0.16608478435320329,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
