model,mr,khan,said,lord,harris,would,report,on,``,what,more,could,be,done,to,ensure,londoners,are,kept,safe,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayor,0.3007493759835558,0.6175519320278485,-1,0.6505606132530564,0.4918498659374273,-1,0.21201926096071277,-1,-1,-1,-1,-1,-1,0.23027133138156597,-1,0.18340899078395445,0.35049758542082543,-1,0.17040763353657995,0.1481558525671337,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,0.2811928316939005,0.4593216320259712,-1,0.34485890300704414,0.2704014713141203,-1,0.2757087828793132,-1,-1,-1,-1,-1,-1,0.3051540626094601,-1,0.3311641748347969,0.3197755633427317,-1,0.33272950807608503,0.39367881504141955,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appointed,0.2628869344329323,0.32601419908130413,-1,0.4761971235209288,0.45440754552367135,-1,0.36774335420397986,-1,-1,-1,-1,-1,-1,0.3979988070887026,-1,0.2845447938167506,0.05693617803095252,-1,0.3851877812917863,0.2586115940115381,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.24329933613940413,0.11747932217168322,-1,0.3100715558837219,0.1565523062592532,-1,0.4332935552866901,-1,-1,-1,-1,-1,-1,0.3671006226372262,-1,0.5019860182425987,0.08443421118313055,-1,0.3894875119308284,0.47893308667658663,-1,-1
expert,0.2226443310056505,0.1981317085851818,-1,0.25244491954931036,0.31304522000330604,-1,0.3784206218990003,-1,-1,-1,-1,-1,-1,0.21452033451507146,-1,0.2694924946418409,0.010026048635508489,-1,0.1192168415863879,0.2153418656739673,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assess,0.1842053207952874,0.0720705447236929,-1,0.11985981117680533,0.14424355651451315,-1,0.3613887566497471,-1,-1,-1,-1,-1,-1,0.46796661873939305,-1,0.5892195837090898,0.34401772923314755,-1,0.32925369743200017,0.5111028311619004,-1,-1
how,0.2739551692410931,0.17509803141503688,-1,0.22883162177358263,0.235750202671539,-1,0.4524041100474101,-1,-1,-1,-1,-1,-1,0.6357668910892434,-1,0.5044186169094909,0.296390160251774,-1,0.4954122387351879,0.5811601671972523,-1,-1
well,0.26285936611889094,0.13578810094914484,-1,0.222996737619779,0.23786063767958399,-1,0.30835470236392093,-1,-1,-1,-1,-1,-1,0.6628490303251009,-1,0.4578885241618148,0.3020236898288817,-1,0.6206969493255131,0.6241921617170372,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capital,0.20219000274976884,0.2865834056528277,-1,0.35993660997136845,0.11405395693860743,-1,0.24892135557432793,-1,-1,-1,-1,-1,-1,0.19023134113072038,-1,0.2828851664594745,0.21118715139074418,-1,0.20864070134033974,0.3074915899098811,-1,-1
would,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cope,0.22274546298090248,0.13016827678615606,-1,0.16556546853771215,0.1934771292580565,-1,0.1873313097420608,-1,-1,-1,-1,-1,-1,0.47541464607638073,-1,0.4714501022940685,0.3958746234363404,-1,0.38700245202466954,0.4866924603757896,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
major,0.20360122242345113,0.10096868455110652,-1,0.18211428190637047,0.07653802532683174,-1,0.2531651313754697,-1,-1,-1,-1,-1,-1,0.29309485663649526,-1,0.2868152378496269,0.055374519818735424,-1,0.19079881708953206,0.26857840803108757,-1,-1
terror,0.11037260815114913,0.20106539939109613,-1,0.18440762535265665,0.08551239513733755,-1,0.253933177376954,-1,-1,-1,-1,-1,-1,0.14283270916695856,-1,0.1757580841553279,0.1445090510376823,-1,0.18796045423436092,0.20179064712832062,-1,-1
attack,0.2500768053107798,0.24913927702136707,-1,0.20667334246415825,0.17771596557409652,-1,0.2726777968407019,-1,-1,-1,-1,-1,-1,0.3127433741446577,-1,0.21166461541024506,0.11583945624443759,-1,0.3144715133247973,0.30593670959936614,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
