model,sadiq,khan,said,lord,toby,harris,of,haringey,would,review,the,``,capability,capacity,and,collaboration,arrangements,of,every,london,agency,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayor,0.706820022418976,0.6175519320278485,-1,0.6505606132530564,0.22495147664250403,0.4918498659374273,-1,0.2896435711711385,-1,0.25952497406978026,-1,-1,0.058817632958684696,0.21519971465898435,-1,0.1838102967627453,0.18412572654260484,-1,0.13071395401085006,0.6665607137434783,0.0941799568666406,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,0.4847145116174477,0.4593216320259712,-1,0.34485890300704414,0.059102831028879144,0.2704014713141203,-1,0.37342759296451145,-1,0.37197063115511375,-1,-1,0.18819870592173094,0.41134598629129804,-1,0.32846476261396473,0.27255035675925054,-1,0.3520401559099706,1.0,0.27452606699540205,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appointed,0.2099795584040769,0.32601419908130413,-1,0.4761971235209288,0.20666043063419792,0.45440754552367135,-1,0.10289938252117747,-1,0.47084479780240807,-1,-1,0.1400429116778209,0.2474083019016209,-1,0.15839302782431164,0.2990729897600677,-1,0.1978488323911518,0.314572090289877,0.23142164503831697,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-0.03565825064121175,0.11747932217168322,-1,0.3100715558837219,-0.02916375601829113,0.1565523062592532,-1,0.22572682012952638,-1,0.6305122683024025,-1,-1,0.4119634802536156,0.4526423294876929,-1,0.32724410594508846,0.5978396786860442,-1,0.31122724625648224,0.3266883917225235,0.6299527929375652,-1,-1
expert,0.06062950350979912,0.1981317085851818,-1,0.25244491954931036,0.13603364811358265,0.31304522000330604,-1,0.08938479361194707,-1,0.49652878612311735,-1,-1,0.17572536283916607,0.19431917447950697,-1,0.16429099487553744,0.2912960775186393,-1,0.258195529345457,0.18007514792608448,0.43928917762416453,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assess,-0.05127254085758137,0.0720705447236929,-1,0.11985981117680533,-0.023429306405529315,0.14424355651451315,-1,0.07741215196271545,-1,0.5408132354992624,-1,-1,0.5023565332200964,0.46045973236713444,-1,0.29938851160841695,0.4970079333215165,-1,0.2873614987123273,0.22457138818147881,0.14637192099584473,-1,-1
how,-0.012064814741313601,0.17509803141503688,-1,0.22883162177358263,-0.0627350229336201,0.235750202671539,-1,-0.047327490295922425,-1,0.5115767747754317,-1,-1,0.34659148787986327,0.33436902393083257,-1,0.36923115153836705,0.42228449447846517,-1,0.375016884119144,0.3219187240150533,0.28742887920219173,-1,-1
well,-0.050415093622385054,0.13578810094914484,-1,0.222996737619779,0.041570477711081244,0.23786063767958399,-1,-0.04363653807943946,-1,0.35614557777302647,-1,-1,0.29855644404451454,0.3638614956027548,-1,0.27258858519597506,0.34754619683959076,-1,0.42162007905790566,0.3366424886913515,0.24596275620737595,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capital,0.26167805341761574,0.2865834056528277,-1,0.35993660997136845,-0.04975050887253474,0.11405395693860743,-1,0.34478551367681975,-1,0.27636485838198177,-1,-1,0.21351944438094772,0.3934635392307849,-1,0.2275177298166653,0.3724780929938186,-1,0.35453266593695143,0.5041077628317719,0.39762580171913153,-1,-1
would,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cope,0.014720162044272178,0.13016827678615606,-1,0.16556546853771215,0.07646605412096097,0.1934771292580565,-1,0.11936749727829654,-1,0.21362026505617715,-1,-1,0.3872902388332409,0.4811034939110519,-1,0.3500717200506529,0.38534538766883963,-1,0.15324626964796773,0.18794026586393953,0.12796125147712856,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
