model,kilmarnock,3-2,ross,county,.
match,0.5254834254826952,0.48103133088092553,0.43311261506519383,0.5794617872446102,-1
reports,0.1507145701393775,0.08791548956190198,0.17885832315723083,0.25916498437867697,-1
from,-1,-1,-1,-1,-1
saturday,0.47470795970168067,0.5627194942162631,0.44327262618277985,0.5729895340486693,-1
's,-1,-1,-1,-1,-1
scottish,0.3065988553959542,0.27094881449837815,0.34608799409606117,0.48261799245401193,-1
premiership,0.5332167799149016,0.46650954040019266,0.375708996855731,0.5763088336372733,-1
and,-1,-1,-1,-1,-1
championship,0.48730997476658766,0.5212811925627008,0.37267763540923693,0.6253907879691545,-1
games,0.36487238797998933,0.3514567267580223,0.3210750054841619,0.43011245999522885,-1
.,-1,-1,-1,-1,-1
