model,st,johnstone,3-0,hamilton,academical,.
match,0.31766391397811566,0.4132675225679101,0.527230290524439,0.491401472469595,0.36326344504187,-1
reports,0.14563145834902158,0.12300916166993947,0.1975246853695295,0.2037876058113296,0.0641497462812397,-1
from,-1,-1,-1,-1,-1,-1
saturday,0.4750990875786356,0.4720806608146053,0.6061753793994042,0.5214411126567207,0.27825216122413876,-1
's,-1,-1,-1,-1,-1,-1
scottish,0.3277677833798278,0.332115512088369,0.3012179071884459,0.4722398772562635,0.18873126542580698,-1
premiership,0.2904220845533051,0.41310766776043417,0.4493801202575731,0.47183421877888354,0.2197372647179877,-1
and,-1,-1,-1,-1,-1,-1
championship,0.34835149860942116,0.41109202199042216,0.5199927241997974,0.5636367530045835,0.27499298862844657,-1
games,0.21780897959455758,0.24986605463489753,0.38063910772631404,0.38490358976213424,0.13279125352536436,-1
.,-1,-1,-1,-1,-1,-1
