model,inverness,ct,0-0,partick,thistle,.
match,0.41389839644530335,0.11833556645406729,0.40663647523795354,0.30644059208306895,0.339783289919112,-1
reports,0.18094452664311922,0.03356328016221777,0.05103232639324329,-0.08071221371552606,0.009611060639570956,-1
from,-1,-1,-1,-1,-1,-1
saturday,0.42546367500062887,0.07390948344987136,0.47035104360460545,0.25013229378766677,0.31399722737866476,-1
's,-1,-1,-1,-1,-1,-1
scottish,0.26555916595987616,0.022158247291644173,0.06851749261283846,0.18357224611583478,0.28358504762707604,-1
premiership,0.3520451888489444,0.052400582909149174,0.33068542188320715,0.3824934003714995,0.43567791924793053,-1
and,-1,-1,-1,-1,-1,-1
championship,0.4011189299279838,0.04205996323938277,0.3443833537375749,0.30832101569647474,0.3858284454169254,-1
games,0.23000170225482797,0.00022360537737375896,0.20876422802804662,0.12345955118250873,0.19541094327962727,-1
.,-1,-1,-1,-1,-1,-1
