model,friday,'s,premiership,report,.
match,0.5990768192548666,-1,0.5488963574092416,0.4827945949008957,-1
reports,0.5727006813284798,-1,0.13624990941606352,0.6513909518430537,-1
from,-1,-1,-1,-1,-1
saturday,0.8939897151335017,-1,0.5372835600244685,0.3681394909755882,-1
's,-1,-1,-1,-1,-1
scottish,0.3930454248763531,-1,0.6803425261141727,0.42038262771878454,-1
premiership,0.38734019457881397,-1,1.0,0.1673489154738379,-1
and,-1,-1,-1,-1,-1
championship,0.49495540185817644,-1,0.884683576274949,0.23160420216704425,-1
games,0.3790406032374909,-1,0.5529961104785975,0.19458080244107845,-1
.,-1,-1,-1,-1,-1
