model,ayr,united,1-4,greenock,morton,.
match,0.48736004258226784,0.6883251265711245,0.08749469029418844,0.22335951957857758,0.28196780282744893,-1
reports,0.14280939182464825,0.26166146783936084,-0.012198408559330964,0.10425174143755211,0.0911306331239995,-1
from,-1,-1,-1,-1,-1,-1
saturday,0.3958555192932741,0.536109710811447,0.22775799011949305,0.21946729979939084,0.23205789424604473,-1
's,-1,-1,-1,-1,-1,-1
scottish,0.27198188307282956,0.42301021940897754,-0.1371096112279644,0.1559364139240259,0.1472140567874971,-1
premiership,0.35274190022948226,0.537592117486621,-0.016234116743843563,0.26563562712525846,0.30192984453345706,-1
and,-1,-1,-1,-1,-1,-1
championship,0.43197398458486025,0.6437655462609592,0.10173727174852665,0.28715905919655726,0.23484058271356267,-1
games,0.2658183506970164,0.4576058653811914,0.04769520071958533,0.11978658006316867,0.1521631518266462,-1
.,-1,-1,-1,-1,-1,-1
