model,raith,rovers,1-3,dumbarton,.
match,0.3311385817882443,0.5348664369297623,0.19798932400745195,0.2862131314993508,-1
reports,0.136626864740935,0.22934024149237775,0.06909539932274111,0.0369670946161178,-1
from,-1,-1,-1,-1,-1
saturday,0.21451647309218402,0.3954191866933009,0.3852084654221748,0.24548366389875909,-1
's,-1,-1,-1,-1,-1
scottish,0.07563436178931404,0.25216470815290326,-0.10724360301333324,0.1526290576963516,-1
premiership,0.26811936550893567,0.432190474225697,0.09375227880294823,0.17523258744653236,-1
and,-1,-1,-1,-1,-1
championship,0.2235291182814385,0.4900278107365904,0.13348120057638757,0.19572706386188088,-1
games,0.05418663740402474,0.2665441855557118,0.06376048286187297,0.12375489488386382,-1
.,-1,-1,-1,-1,-1
