model,celtic,v,heart,of,midlothian,-lrb-,13:00,-rrb-,.
match,0.6491702120415381,-1,0.32169082840723984,-1,0.06479051820490933,-1,-1,-1,-1
reports,0.20640700423014458,-1,0.32027812595632477,-1,0.07332691843802697,-1,-1,-1,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1
saturday,0.6383473637777547,-1,0.33174881670054057,-1,0.06697937419899347,-1,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1
scottish,0.5448523361810729,-1,0.14640805529722456,-1,0.018327018563270014,-1,-1,-1,-1
premiership,0.6970165961408694,-1,0.13471398665447254,-1,0.004357887283443773,-1,-1,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1
championship,0.7641665887851812,-1,0.24489748501549635,-1,0.08662309034045979,-1,-1,-1,-1
games,0.5453595662335607,-1,0.2431871001849112,-1,0.03393602932486928,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
