model,the,steel,framework,intended,to,recreate,the,shape,of,the,iconic,fighter,is,currently,being,installed,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,0.41321773574413445,0.21667440068345445,0.14329717843768253,-1,0.10959219554205446,-1,0.2565903187074259,-1,-1,0.29646013454162634,0.18401097050110593,-1,0.22924088141880583,-1,0.31116851107668997,-1
centre,-1,0.3244456571098603,0.2974375781328725,0.17367214784819485,-1,-0.06870374533071755,-1,0.29166870735319217,-1,-1,0.29095556656538735,0.1430580586138297,-1,0.379577799167229,-1,0.2953029812503415,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,0.22140637135040497,0.37530114417538807,0.3363740966148757,-1,0.19194907097288882,-1,0.3135240510087475,-1,-1,0.26129935376935176,0.3132517272665051,-1,0.3268508697017256,-1,0.21537547506731203,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,0.4746469992759561,0.2286501828796047,0.3955371226438895,-1,0.12756553462485742,-1,0.5360513741143296,-1,-1,0.35871903417757034,0.30027773603759167,-1,0.4999021224772252,-1,0.20726901328499336,-1
memorial,-1,0.33738728767177983,0.31937173271798636,0.24950506667202865,-1,0.04527447420578634,-1,0.14204967312240757,-1,-1,0.3076420770558119,0.22058972003658361,-1,0.26067515542239417,-1,0.34716586167284924,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,0.5457919788267868,0.5071029827653079,0.755825997092415,-1,0.4067121599663188,-1,0.5271878305408485,-1,-1,0.4181717083056412,0.20870103281245522,-1,0.5587120806247227,-1,0.6347427733400084,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,0.3024535992557875,0.34460544264079906,0.49457078219499184,-1,0.4688065826268023,-1,1.0,-1,-1,0.3570413992606165,0.24523814178100956,-1,0.36828257908520456,-1,0.25649526230296515,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,0.1628483771122169,0.17016142860223282,0.06071678749647702,-1,0.2415014924626011,-1,0.06636311570487785,-1,-1,0.2673896398382962,0.44317902427921907,-1,-0.051093212050670855,-1,0.1462201930405782,-1
wing,-1,0.21053927261649008,0.2030455439013612,0.06927439694069781,-1,-0.09795945788209148,-1,0.2442017578026503,-1,-1,0.10755936349825057,0.2346348282528523,-1,0.28190034379861406,-1,0.17301755596130808,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,0.3118120227314084,0.3317764197927995,0.48385242887370017,-1,0.21769632687943896,-1,0.5297851432813773,-1,-1,0.33666894014622484,0.18047823041809496,-1,0.5655130800630498,-1,0.4199939648951493,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,0.2622886777543768,0.2920134124856586,0.4717570463536689,-1,0.21209243661807675,-1,0.5004491990831806,-1,-1,0.22774597837377297,0.1211636167948098,-1,0.4070597752267202,-1,0.2812292760529509,-1
shape,-1,0.3024535992557875,0.34460544264079906,0.49457078219499184,-1,0.4688065826268023,-1,1.0,-1,-1,0.3570413992606165,0.24523814178100956,-1,0.36828257908520456,-1,0.25649526230296515,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
