model,it,is,being,built,at,the,end,of,an,existing,memorial,which,is,shaped,like,a,three-bladed,propeller,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,-1,-1,0.3025458828317127,-1,-1,-1,-1,-1,0.33507159529151376,0.34187024822037315,-1,-1,0.0642784221718149,0.10438936353492989,-1,-0.4068873655206704,0.16384811237135744,-1
centre,-1,-1,-1,0.4398648040099622,-1,-1,-1,-1,-1,0.36950691292115234,0.3961973782416882,-1,-1,0.04888471172251907,0.26028364938755866,-1,-0.5637372506341696,-0.12392541353555742,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,-1,-1,0.2889038643352576,-1,-1,-1,-1,-1,0.21834667240771055,0.41054038344046895,-1,-1,0.15898292295073846,0.27336451517280036,-1,-0.5042207610172902,0.11853383961037212,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,-1,-1,0.4260649484844471,-1,-1,-1,-1,-1,0.3765308352036415,0.26922227715906766,-1,-1,0.16158980053585792,0.48380870886162164,-1,-0.6243371706790253,-0.1029388130859159,-1
memorial,-1,-1,-1,0.4197752790304492,-1,-1,-1,-1,-1,0.28972697743077647,1.0,-1,-1,0.16700075423201233,0.20458157904241103,-1,-0.3674900835934176,0.037930194702771924,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,-1,-1,0.6364034099315785,-1,-1,-1,-1,-1,0.628808625159058,0.3390610377340384,-1,-1,0.3802992667256848,0.4306465364011838,-1,-0.638816156262783,0.08818458452765843,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,-1,-1,0.40273241460172504,-1,-1,-1,-1,-1,0.4352377650261434,0.14204967312240757,-1,-1,0.26407180606202907,0.384800299201816,-1,-0.5352760141751021,0.17941885915673172,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,-1,-1,0.07825290628128623,-1,-1,-1,-1,-1,-0.0788457972268315,0.27360684420430914,-1,-1,0.30848051477302363,0.006308648615024448,-1,-0.1416665821878329,0.48159256918266724,-1
wing,-1,-1,-1,0.30736281614269645,-1,-1,-1,-1,-1,0.3001460419447314,0.18557817753051542,-1,-1,0.05224583331828847,0.2360571833757502,-1,-0.506425985584877,-0.0457920420884792,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,-1,-1,0.5005589414319739,-1,-1,-1,-1,-1,0.41060371935869266,0.2993886811052353,-1,-1,0.2299113121364018,0.4542207439167102,-1,-0.7425671345110318,0.02106939013231124,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,-1,-1,0.3589842933008187,-1,-1,-1,-1,-1,0.36074277557643586,0.1946871752190542,-1,-1,0.06154443300969503,0.43730543855438786,-1,-0.5180784845659305,-0.14086561819730403,-1
shape,-1,-1,-1,0.40273241460172504,-1,-1,-1,-1,-1,0.4352377650261434,0.14204967312240757,-1,-1,0.26407180606202907,0.384800299201816,-1,-0.5352760141751021,0.17941885915673172,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
