model,the,centre,will,tell,the,story,of,the,world,war,ii,battle,over,kent,and,sussex,in,1940,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,0.5996895107676355,-1,0.02156368090240801,-1,0.20398164436840271,-1,-1,0.25501083852810735,0.14549025661060344,0.21902863736560774,0.12656640908594285,-1,0.2044535646850375,-1,0.2713715676342292,-1,-0.024879758598325807,-1
centre,-1,1.0,-1,0.17302476801373468,-1,0.2185846402173166,-1,-1,0.37130242282389125,0.24009484284626836,0.2680339431478789,0.25624262114603846,-1,0.43242102521520587,-1,0.45712383427592473,-1,-0.06581381281617982,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,0.25624262114603846,-1,0.26831499199438924,-1,0.2330493917063161,-1,-1,0.32566954604215026,0.541489803397035,0.33803085232250896,1.0,-1,0.2551036106714397,-1,0.2861796232436362,-1,0.23072898255231222,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,0.337523089864868,-1,0.4531077382463736,-1,0.3493420449288942,-1,-1,0.6479725667881124,0.4338509383644382,0.36616149395212916,0.41588428093700314,-1,0.3131953839961339,-1,0.3684540556497298,-1,0.22001727505470658,-1
memorial,-1,0.3961973782416882,-1,0.1185273591445043,-1,0.1488663214846594,-1,-1,0.3359853414447207,0.5839613902128205,0.44720099951521264,0.41054038344046895,-1,0.24082377112496145,-1,0.31615547130372157,-1,0.11118615818334532,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,0.38570821301798586,-1,0.4187342080817451,-1,0.24782712939111573,-1,-1,0.30976587773379827,0.23047491274787268,0.2318718407211351,0.2962704834448966,-1,0.2731777991093973,-1,0.23036504594663776,-1,0.05403647603885309,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,0.29166870735319217,-1,0.47560050779007135,-1,0.3534443411890664,-1,-1,0.3446929098525171,0.2000208571885549,0.0732995829509624,0.3135240510087475,-1,0.08558249222322856,-1,0.0565178253621994,-1,0.0046940338633575385,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,-0.0518559124922946,-1,-0.12186670668644473,-1,0.019104142842957028,-1,-1,0.22352411728182497,0.3943793477811559,0.3873030354318159,0.31125295591489666,-1,-0.02003003099084144,-1,0.04620639128674653,-1,0.2037103533474922,-1
wing,-1,0.6586347454000866,-1,0.1815389794438943,-1,0.20769459322920092,-1,-1,0.24199214199198216,0.19591837010190183,0.3233374415433362,0.1821938245892798,-1,0.4553429768540591,-1,0.5071919156291429,-1,0.03647334569667815,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,0.3951930131365414,-1,0.4470320243137256,-1,0.4302737272682071,-1,-1,0.46401584736512236,0.4165733999281054,0.3109987897748909,0.46276471761532334,-1,0.34398498897867147,-1,0.3191695412459804,-1,0.4086379966001923,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,0.36645797123408164,-1,0.47215505532323454,-1,0.3179491637958265,-1,-1,0.3523150432558483,0.20987309285820366,0.10625191562515368,0.40466814458997646,-1,0.3105571413496111,-1,0.27929955550695473,-1,0.09550980233409789,-1
shape,-1,0.29166870735319217,-1,0.47560050779007135,-1,0.3534443411890664,-1,-1,0.3446929098525171,0.2000208571885549,0.0732995829509624,0.3135240510087475,-1,0.08558249222322856,-1,0.0565178253621994,-1,0.0046940338633575385,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
