model,work,began,in,september,with,wing,cdr,bob,foster,93,using,a,digger,to,break,the,ground,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visitor,-1,0.10403950872877976,-1,0.12361408988031808,-1,0.31633317202735467,-0.0018962803494937397,0.07815558979122583,0.0082218563545019,0.050119045339868884,0.2684271763823004,-1,0.09323514199370364,-1,0.25800834660901095,-1,0.33915728965258496,-1
centre,-1,0.2854021356987151,-1,0.3356032338461026,-1,0.6586347454000866,-0.06892034523675727,0.23456699796631653,0.20882793407573808,0.08321722930978015,0.38151450826972866,-1,-0.11199179507939738,-1,0.3770016512923091,-1,0.561977788697017,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
battle,-1,0.4735941727655457,-1,0.33848744339529757,-1,0.1821938245892798,-0.18772754559268123,0.011368102045198891,0.17062747416177815,0.0717441500437217,0.3097542877810925,-1,0.1278299833921086,-1,0.3787281313783779,-1,0.5013304685592073,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
britain,-1,0.32714293544379225,-1,0.466737927554588,-1,0.3359469628590548,-0.2682768654243297,0.2719498301108507,0.4086038800006119,0.12425103897295464,0.3344563704129615,-1,-0.10959624005300905,-1,0.45562956000356936,-1,0.4965984939825425,-1
memorial,-1,0.2804171321591067,-1,0.2564893166843376,-1,0.18557817753051542,-0.033538301687160876,0.08548530619283201,0.15703991007993778,0.06389042230756903,0.21105723292688194,-1,0.1266903183408381,-1,0.14631371065683718,-1,0.35311037041762794,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
designed,-1,0.31225310559097497,-1,0.26152571758438325,-1,0.17999266084118315,-0.24598072646069102,0.12323884004907781,0.33267656702316806,0.06459649044229332,0.7269981907512046,-1,0.22923833026236085,-1,0.3576932934472191,-1,0.4917920987830846,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shape,-1,0.24554505101246504,-1,0.1954603596815807,-1,0.2442017578026503,-0.36102318932512234,0.05987241629083784,0.1766319696912516,0.0835988184983556,0.44365258899709326,-1,0.08208522896825521,-1,0.3519222044879644,-1,0.5321144263150146,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spitfire,-1,0.1346220834164682,-1,-0.0676486958927407,-1,-0.009575108251708597,0.16825818305810236,0.020723771554963633,-0.021104984836517682,-0.05302557258475704,0.005314353162300556,-1,0.4799999619966403,-1,0.19599910379470853,-1,0.08520469933887653,-1
wing,-1,0.15203867219582357,-1,0.3050972825597733,-1,1.0,0.09630629676248637,0.3422411526752902,0.18948761721056395,0.1290690804110547,0.2677320617057988,-1,-0.06428256853940728,-1,0.3990962184491953,-1,0.5162815250455477,-1
-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beginning,-1,0.5904222872827755,-1,0.7246020939330976,-1,0.2505269211908765,-0.29454356926312997,0.18922954307660655,0.21162192144262504,0.1476758014009234,0.4324461004418241,-1,-0.09495239522472776,-1,0.5434016089397484,-1,0.5787531140220932,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
take,-1,0.2946615852560428,-1,0.41123189350377154,-1,0.2750032230539805,-0.25123471109834083,0.0983520573733252,0.34976818828186274,0.09961493810087818,0.4267556362826823,-1,-0.05768502650757079,-1,0.47684221276758176,-1,0.5155604165461726,-1
shape,-1,0.24554505101246504,-1,0.1954603596815807,-1,0.2442017578026503,-0.36102318932512234,0.05987241629083784,0.1766319696912516,0.0835988184983556,0.44365258899709326,-1,0.08208522896825521,-1,0.3519222044879644,-1,0.5321144263150146,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
