model,the,82-year-old,who,has,had,health,problems,in,recent,years,reportedly,does,not,wish,to,remain,emperor,if,he,has,to,reduce,his,official,duties,.
japan,-1,-0.1268863160600926,-1,-1,-1,0.26195979635733113,0.3009120134253771,-1,0.5031425359452294,0.4383875868361584,0.3131101804523835,0.4051550618051172,-1,0.20022419640729927,-1,0.34343610960119775,0.2616852189452614,-1,-1,-1,-1,0.26206593106940257,-1,0.378500880770942,0.14213012524581425,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,0.4325747299186019,-1,-1,-1,-0.10528738262162896,-0.10009019427007204,-1,0.007308531789797179,0.025609189921733,0.06516398812372615,0.016117700587983452,-1,0.07644453326730782,-1,-0.20723577713830665,1.0,-1,-1,-1,-1,-0.12827011640772712,-1,0.009570421874995239,-0.028084418871653583,-1
akihito,-1,0.30021229115834347,-1,-1,-1,-0.24477739054779657,-0.2550434549404281,-1,-0.2435109034602716,-0.229940338078362,-0.1141018882910867,-0.16666734612556255,-1,-0.14069041626701861,-1,-0.4512480178947409,0.8252696643543547,-1,-1,-1,-1,-0.27709532763442124,-1,-0.3175758306204195,-0.2036792990953502,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.009044437961176599,-1,-1,-1,0.27544928700045257,0.4130631421109323,-1,0.3648782223108257,0.2449180144300065,0.3557854116336703,0.23749332243882781,-1,0.27767600493525924,-1,0.2649197677137799,0.07509765284250103,-1,-1,-1,-1,0.20863194944204877,-1,0.3188905729604692,0.1899197962590763,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.06460415130274955,-1,-1,-1,0.23450356466678202,0.42892427514636977,-1,0.2601529609009644,0.24400498559990125,0.23446897604467165,0.38520104276433254,-1,0.552016168760263,-1,0.3798106258559706,0.11357325428797993,-1,-1,-1,-1,0.38969160464823727,-1,0.27731236153775596,0.3182764758376372,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,0.10438839982160386,-1,-1,-1,-0.25610611922014215,-0.152710187582221,-1,-0.26733393425312446,-0.18014508505736382,-0.12786800754941874,0.10775091177951479,-1,0.3097929265871293,-1,0.05473631713988314,0.1765118617370297,-1,-1,-1,-1,0.10905330669269786,-1,-0.28128528219473736,0.10000605400672025,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,-0.043114151679724655,-1,-1,-1,0.28206429601341787,0.26393155931552614,-1,0.4893255194468906,0.6189664548521101,0.24197863790693197,0.40469080298664406,-1,0.36979823767842546,-1,0.4519353511215224,-0.01858404675433789,-1,-1,-1,-1,0.28456427401877293,-1,0.42315475284433846,0.257741533825535,-1
few,-1,-0.13519803589793788,-1,-1,-1,0.2788069493939487,0.407701510634792,-1,0.6264325092174565,0.7328489524298799,0.35203905445074524,0.34321014448636467,-1,0.3350247583116899,-1,0.370348561277682,-0.03315554662593523,-1,-1,-1,-1,0.2346177972486383,-1,0.3478885683413908,0.20382641932497436,-1
years,-1,0.010509391384780464,-1,-1,-1,0.3885402800482287,0.38076653393276927,-1,0.644657925147105,1.0,0.4128680478017913,0.3546909291529873,-1,0.32298058540484664,-1,0.4161391583650149,0.025609189921733,-1,-1,-1,-1,0.36515168672591614,-1,0.39033640669583813,0.24931654667623582,-1
public,-1,0.01896398648094122,-1,-1,-1,0.5723517142688599,0.37993892691431075,-1,0.3685944723894192,0.340140535651811,0.22845704263282118,0.39021264719840365,-1,0.2941678240915253,-1,0.45260910450829617,-0.09419568323132754,-1,-1,-1,-1,0.3532382897024351,-1,0.460689117021307,0.32897303149416957,-1
broadcaster,-1,0.08583767037127621,-1,-1,-1,0.37252137704632915,0.16706594425901855,-1,0.28021127707878224,0.20438502356229593,0.2150682377431764,0.25310020901860897,-1,0.11667348902439678,-1,0.09230155816993646,0.22111915821431571,-1,-1,-1,-1,0.09739161513330219,-1,0.5749729547736799,0.1498944542241165,-1
nhk,-1,0.023595205168969402,-1,-1,-1,0.15387082403631047,-0.0978550347479823,-1,-0.008574707909411172,-0.18381237294889852,-0.12931253673186194,-0.096760955095466,-1,-0.24772149217048955,-1,-0.2424352341372984,0.16869222391792738,-1,-1,-1,-1,-0.1016649217840968,-1,0.18611776658468349,-0.11604755236043518,-1
reports,-1,-0.04180685709830323,-1,-1,-1,0.4002546961290627,0.4444504867308685,-1,0.5741927028356646,0.40015065048973386,0.5029116081435934,0.3205559158974478,-1,0.1942145635180813,-1,0.3153172065324623,-0.12154725488808404,-1,-1,-1,-1,0.1613524891387561,-1,0.7280259997045855,0.21624297469687392,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
