model,but,a,palace,spokesman,denied,that,there,is,any,official,plan,for,the,monarch,to,abdicate,in,what,would,be,an,unprecedented,move,in,modern,japan,.
japan,-1,-1,0.4236636090083352,0.3379405504667202,0.27500976207367955,-1,-1,-1,0.26464765021910164,0.378500880770942,0.297163844302336,-1,-1,0.28020467076997657,-1,-0.2018471222131848,-1,-1,-1,-1,-1,0.3038597608684158,0.5437163550074493,-1,0.32428348061303214,1.0,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,-1,0.04376665402033397,0.044651187325976505,0.08350326544449516,-1,-1,-1,-0.05729902306962775,0.009570421874995239,-0.06645474343250757,-1,-1,0.512534924426305,-1,0.1765118617370297,-1,-1,-1,-1,-1,0.016853435792281157,-0.09906484887298639,-1,0.15390062521199588,0.2616852189452614,-1
akihito,-1,-1,-0.12653802144620752,-0.07415108847883767,-0.05240088046349989,-1,-1,-1,-0.3392884068773645,-0.3175758306204195,-0.2489361060159483,-1,-1,0.30326140984237737,-1,0.20042229029485115,-1,-1,-1,-1,-1,-0.17238219004506417,-0.3778253447013866,-1,-0.0909203127148801,0.07480472035438579,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,-1,0.2259682168625392,0.2516651647632744,0.3490422242800777,-1,-1,-1,0.3474181595554603,0.3188905729604692,0.23705814195852137,-1,-1,0.07047350254934304,-1,-0.013672693134110236,-1,-1,-1,-1,-1,0.30445018517222455,0.3036425461121227,-1,-0.015473259615617074,0.28347496247634885,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,-1,0.2178517598765526,0.15627349935488444,0.31377973586573593,-1,-1,-1,0.49644310817949266,0.27731236153775596,0.4514678389740864,-1,-1,0.19006292484039722,-1,0.16707010980338832,-1,-1,-1,-1,-1,0.3183828161774922,0.46415550091944024,-1,0.1420399560905118,0.28105743052319676,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,-1,-0.09840103809904721,-0.34590512585660704,-0.03719194856655972,-1,-1,-1,0.0014666438631162348,-0.28128528219473736,-0.04481159152577319,-1,-1,0.14719326456662574,-1,1.0,-1,-1,-1,-1,-1,-0.04812008785508182,-0.09046601212766836,-1,-0.14320302251615824,-0.2018471222131848,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,-1,0.4006955153077483,0.26860811953117547,0.057085181332401924,-1,-1,-1,0.32033616415273003,0.42315475284433846,0.5003246179862025,-1,-1,0.18038438838697046,-1,-0.0907615873172316,-1,-1,-1,-1,-1,0.3111104948190524,0.6135903488676837,-1,0.2929470708963555,0.45291115529710035,-1
few,-1,-1,0.14813296135052434,0.21568105724085918,0.18864197472697797,-1,-1,-1,0.3540847242122416,0.3478885683413908,0.3417318870689394,-1,-1,0.022132221614900693,-1,-0.1901866268465564,-1,-1,-1,-1,-1,0.28204625233568836,0.5293651202541002,-1,0.3621412244994964,0.3365137087811174,-1
years,-1,-1,0.27103687042349467,0.283544279765932,0.23528552839439054,-1,-1,-1,0.320901982556551,0.39033640669583813,0.4191392791703723,-1,-1,0.17934707098300973,-1,-0.18014508505736382,-1,-1,-1,-1,-1,0.3650792755815415,0.5042785616099984,-1,0.410609579865555,0.4383875868361584,-1
public,-1,-1,0.16894834765501754,0.3866547911377278,0.20876181696795704,-1,-1,-1,0.44755707357056784,0.460689117021307,0.3259822614661678,-1,-1,0.06607656977970167,-1,-0.14514622871488259,-1,-1,-1,-1,-1,0.3182095351341694,0.423542504728202,-1,0.2151442974091845,0.27375462598116407,-1
broadcaster,-1,-1,0.28599766112435576,0.6296957711846594,0.19642589525621523,-1,-1,-1,0.18525047747035595,0.5749729547736799,0.1999081827794772,-1,-1,0.23788790314110253,-1,-0.37603128651007234,-1,-1,-1,-1,-1,0.08081106013223249,0.22011404291153003,-1,0.2592014734639927,0.414733685474195,-1
nhk,-1,-1,0.005827322941811541,0.3504715594442124,-0.05592172034069787,-1,-1,-1,-0.16981660992963965,0.18611776658468349,-0.17551013917106717,-1,-1,0.01359736719369542,-1,-0.2416167848293327,-1,-1,-1,-1,-1,-0.12266545160472941,-0.26846335503554286,-1,-0.07105978414771075,0.0979018154298168,-1
reports,-1,-1,0.26005068172192924,0.5501950286392178,0.4335719600992829,-1,-1,-1,0.44851300544816586,0.7280259997045855,0.25287596290267667,-1,-1,-0.060874532241025126,-1,-0.3758563361324816,-1,-1,-1,-1,-1,0.2284150671403058,0.4227265608540173,-1,0.22730237230995476,0.34677919858781325,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
