model,five,things,about,japan,'s,emperor,:,.
japan,0.4075899815637054,0.37313462505032224,-1,1.0,-1,0.2616852189452614,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-0.07739731956662466,-0.029401953299974082,-1,0.2616852189452614,-1,1.0,-1,-1
akihito,-0.36375659088029044,-0.2660239299011087,-1,0.07480472035438579,-1,0.8252696643543547,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.1929629972508724,0.2177043748889571,-1,0.28347496247634885,-1,0.07509765284250103,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.25427868801669284,0.40797653112365095,-1,0.28105743052319676,-1,0.11357325428797993,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-0.21431766431240273,-0.05333762216282989,-1,-0.2018471222131848,-1,0.1765118617370297,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
next,0.6128228303751271,0.45543936906646953,-1,0.45291115529710035,-1,-0.01858404675433789,-1,-1
few,0.7422490205963871,0.6738363183123016,-1,0.3365137087811174,-1,-0.03315554662593523,-1,-1
years,0.8100060701766464,0.4876290134087381,-1,0.4383875868361584,-1,0.025609189921733,-1,-1
public,0.3277847957230777,0.32865351174885793,-1,0.27375462598116407,-1,-0.09419568323132754,-1,-1
broadcaster,0.17197137812458252,0.05956456117184117,-1,0.414733685474195,-1,0.22111915821431571,-1,-1
nhk,-0.2651825633702556,-0.30242464262935,-1,0.0979018154298168,-1,0.16869222391792738,-1,-1
reports,0.42120783453342714,0.35220726267300484,-1,0.34677919858781325,-1,-0.12154725488808404,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
