model,in,2011,he,took,the,highly,unusual,step,of,making,a,televised,national,address,following,the,devastating,earthquake,and,tsunami,at,fukushima,.
japan,-1,0.4926265180976679,-1,0.3642530351782258,-1,0.18765416144785219,0.27430894808819695,0.36347007211294335,-1,0.36672200924512743,-1,-0.06861905876806484,0.34580589399017536,0.1888944426412813,0.3711119793485529,-1,0.24043660350827223,0.32333301381153845,-1,0.1871862319267611,-1,0.3409449711091086,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,0.06495260509853307,-1,-0.038691144996356286,-1,0.13722895736097618,0.14970765021743104,-0.029340469376104572,-1,-0.11397471038981877,-1,-0.044850111886234334,-0.028184947479607647,-0.08406540844423649,-0.07732948320038413,-1,0.02543025041546354,0.21083247521785287,-1,0.11328690804250718,-1,0.34192695530123185,-1
akihito,-1,-0.21050189665360608,-1,-0.22775855632273556,-1,-0.11506351176320595,-0.12348998770047737,-0.24985345323515995,-1,-0.3915453199793726,-1,-0.21995764599242085,-0.23963417461323377,-0.3286148263118607,-0.329673426699548,-1,-0.11894051758569102,0.06891904148987038,-1,0.0210565956131491,-1,0.345361228681613,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.15339352089378766,-1,0.2306116123988724,-1,0.18551346950030345,0.20841642088957224,0.21505023047133331,-1,0.23720205901277192,-1,0.24524364901824036,0.25146434255264294,0.42030608466524755,0.24959212700595756,-1,0.22402848934014286,0.11756958187001032,-1,0.03346159767925461,-1,-0.06632530614560395,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.18606152242106755,-1,0.19186462636186752,-1,0.31560184509746037,0.3376915073032152,0.3673519940247483,-1,0.4544942515095345,-1,0.22145333205287565,0.1776724377253277,0.4597472452322766,0.23729656006679578,-1,0.3023480269084199,0.12658965622738583,-1,0.023918396205568793,-1,-0.16698337441001687,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,-0.13095384460663362,-1,-0.10691440722780121,-1,-0.04925391272464252,-0.018357894059787272,-0.033591467929471985,-1,-0.137997696541166,-1,-0.021525148431284613,-0.29090357333400996,0.0295132106885726,-0.2819168728666983,-1,-0.13218196949464844,-0.14697486628710776,-1,-0.08379657923057238,-1,0.02063722032421289,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,0.4599194810613074,-1,0.377751144961761,-1,0.175219395329395,0.3031190170854863,0.5826876013994822,-1,0.42839998115588585,-1,0.22993974692415153,0.44184314393720237,0.4167333222264735,0.4683867900441291,-1,0.15094127951357172,0.019839899853804743,-1,-0.06527755001744495,-1,0.05569189618229786,-1
few,-1,0.29858574630862833,-1,0.40764486127179733,-1,0.2854386730530156,0.41470558243641675,0.38064002767237937,-1,0.4958260465160831,-1,0.16751070146398073,0.271293081648036,0.34583847149168,0.38904075797772775,-1,0.24050163228597032,0.09816051125818737,-1,-0.036363284826220976,-1,-0.17340124301268078,-1
years,-1,0.5628103068626389,-1,0.5034035904547182,-1,0.21999645544785917,0.27837332010196114,0.3029114238240095,-1,0.5262839260457345,-1,-0.04621868307079624,0.39396786831691755,0.2775601844310034,0.45747449483578984,-1,0.2528319352603824,0.2006775940227724,-1,0.05745599327110562,-1,-0.02997521025043226,-1
public,-1,0.30968562538218003,-1,0.29368491058853385,-1,0.2725876892680874,0.2647961518287627,0.33084543786643983,-1,0.5160872509679653,-1,0.2703022974280107,0.5343256037347054,0.4901745911676154,0.3536344757376373,-1,0.14780399821505874,-0.026449809709864658,-1,-8.142804867694586e-05,-1,-0.09549086627514924,-1
broadcaster,-1,0.2786040159798968,-1,0.14564840405216695,-1,0.0405046774574781,0.027073091012156825,0.08189287515614574,-1,0.1483964700618461,-1,0.18182361659154844,0.5293127267098522,0.24999102337229484,0.2399485780067817,-1,0.10405022222571825,0.053931787215352855,-1,0.02688361258469829,-1,0.17187274402677377,-1
nhk,-1,-0.06946920715563776,-1,-0.18679124465629626,-1,-0.1950436595481495,-0.22707881895177673,-0.24060286826465016,-1,-0.23874557192094548,-1,0.0465760877333834,0.19503678804387714,-0.05208070496266415,-0.08288901801959203,-1,-0.10144607722674559,-0.08722918588511064,-1,-0.02098902331652419,-1,0.22326612381791855,-1
reports,-1,0.43344208430459696,-1,0.33762989826114553,-1,0.22386321225565586,0.32083581957276686,0.1840914118681607,-1,0.39852353337066715,-1,0.25726039102759346,0.3457225060873441,0.4293564756124526,0.5331731474620904,-1,0.3763646879786686,0.2752919688594341,-1,0.23760215141652274,-1,-0.10444288760264331,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
