model,in,1989,he,succeeded,his,father,hirohito,who,had,had,the,status,of,a,living,god,in,japan,until,he,was,stripped,of,that,role,by,the,victorious,americans,who,wrote,the,country,'s,post-war,constitution,.
japan,-1,0.2810070867929674,-1,0.21202462256215404,-1,0.27819979797050487,-0.15956526633362111,-1,-1,-1,-1,0.32549094123343203,-1,-1,0.23458032866980183,0.1821441547570959,-1,1.0,0.328324645267414,-1,-1,0.2449247796941617,-1,-1,0.3170267761143849,-1,-1,0.27698629551299736,0.4857868324734942,-1,0.2831716695135217,-1,0.5933072616171119,-1,0.2810955688848853,0.44160017439850074,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,0.20923116565308775,-1,0.39289230600013814,-1,0.27321010227973297,0.4881875249851033,-1,-1,-1,-1,0.1031576343466798,-1,-1,-0.09639881502118763,0.28149174594644855,-1,0.2616852189452614,-0.061139084525092535,-1,-1,0.23444647480890202,-1,-1,0.06168081927381164,-1,-1,0.33350399310589696,0.14836403574381962,-1,0.13039036826554073,-1,0.04841112482306542,-1,0.34923997045134536,0.2426008803025762,-1
akihito,-1,-0.024253371029813398,-1,0.24632946853004367,-1,3.13590721053858e-05,0.6132674314858032,-1,-1,-1,-1,-0.22530290393585206,-1,-1,-0.34173784172334987,0.12240056439430802,-1,0.07480472035438579,-0.2833861421730832,-1,-1,0.11510776504283904,-1,-1,-0.1698414309526397,-1,-1,0.18213601491531795,-0.13318466312755195,-1,-0.09479217803022855,-1,-0.288589370207204,-1,0.09796706964600366,0.01722471980815976,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.06489928409383028,-1,0.260580026436135,-1,0.28452459679159225,-0.12650492461864427,-1,-1,-1,-1,0.2817052823207792,-1,-1,0.20903267156328686,0.2510409733924621,-1,0.28347496247634885,0.009042437755001687,-1,-1,0.20356579249614193,-1,-1,0.25345935661120844,-1,-1,0.0877857921847176,0.3177721937838843,-1,0.3525673938674948,-1,0.30729074102781806,-1,0.0807417075896324,0.09821678035390258,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.07980024435336708,-1,0.28591128801565735,-1,0.33950861414949995,-0.24118677357119278,-1,-1,-1,-1,0.47831060540268777,-1,-1,0.22349964646618425,0.4974493957756061,-1,0.28105743052319676,0.24917676971999003,-1,-1,0.3386277908574381,-1,-1,0.3707409770134602,-1,-1,0.13228329161890218,0.39804204272443056,-1,0.3229953580942546,-1,0.4314240582245483,-1,0.10089131848590138,0.25372245071636645,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,0.05197077257853533,-1,0.20446588142993372,-1,-0.025941255491936932,0.14123069581030923,-1,-1,-1,-1,0.028977916914410984,-1,-1,-0.047021965422153755,0.2409476534627243,-1,-0.2018471222131848,0.033354506542660145,-1,-1,0.17064030488758108,-1,-1,-0.0723136250793317,-1,-1,0.0498874127594795,-0.09904047921477388,-1,-0.06429338042881305,-1,-0.10496558453221216,-1,-0.020709849650699663,0.08047604814426945,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,0.2659841063343864,-1,0.15345998489006618,-1,0.3143223440910494,-0.36445704260952816,-1,-1,-1,-1,0.3819913981430343,-1,-1,0.3091209810979343,0.15774428123882633,-1,0.45291115529710035,0.5339300236831189,-1,-1,0.20610446033284147,-1,-1,0.369768998629316,-1,-1,0.20866901126331194,0.3533449860383465,-1,0.34363802467129534,-1,0.39122153177973873,-1,0.20825706920260878,0.28091319634165224,-1
few,-1,0.15054332320194108,-1,0.1273811613593283,-1,0.38693482208029206,-0.33550124112725,-1,-1,-1,-1,0.26716687425888774,-1,-1,0.3639950732751317,0.10740795240240597,-1,0.3365137087811174,0.36834032091579183,-1,-1,0.14830560834110962,-1,-1,0.27961384158179725,-1,-1,0.14982375018092997,0.5526354865159124,-1,0.3791172632312304,-1,0.41723849537963464,-1,0.15403134609999847,0.18909000765065254,-1
