model,emperor,akihito,has,been,admired,for,distancing,the,monarchy,from,its,association,with,the,aggressive,nationalism,of,world,war,two,.
japan,0.2616852189452614,0.07480472035438579,-1,-1,0.07550313484167859,-1,-0.24943432589686565,-1,0.27882267835130625,-1,-1,0.2584936589145157,-1,-1,0.19380747951709676,0.20611933149255235,-1,0.5193418753641792,0.44186090241105114,0.44671898024874923,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,1.0,0.8252696643543547,-1,-1,0.24927745965731973,-1,-0.06501354062002562,-1,0.42794547830965324,-1,-1,0.03262961693239852,-1,-1,0.16841104109786864,0.2013549179995635,-1,0.03791267426691891,0.0832504850211977,-0.027968093290751783,-1
akihito,0.8252696643543547,1.0,-1,-1,0.11731262796323272,-1,-0.040441292826002506,-1,0.2419683034558242,-1,-1,-0.1372474534327075,-1,-1,-0.06340109966065666,0.03757389552367918,-1,-0.15575215690874056,-0.1348408618582675,-0.29961044972094175,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.07509765284250103,-0.05059902109287062,-1,-1,0.30483483982979975,-1,-0.27079750051312956,-1,0.15730063906024372,-1,-1,0.2522406943709351,-1,-1,0.09208872647583699,0.14594782173831433,-1,0.165114220255289,0.0888294029317589,0.22148014204027855,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.11357325428797993,-0.09383956480780231,-1,-1,0.4076731695372078,-1,-0.07761962334243377,-1,0.22094471411971894,-1,-1,0.18843109351328435,-1,-1,0.33483833702495125,0.2522399318330506,-1,0.2634836976704156,0.12098100040388904,0.2589308749365471,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,0.1765118617370297,0.20042229029485115,-1,-1,0.09884215894423931,-1,0.25078616787677555,-1,0.12586546321828118,-1,-1,-0.31395245962969676,-1,-1,0.01226735516656774,0.04931370096045207,-1,-0.18551452443610783,-0.1251301339079829,-0.25138422484270495,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-0.01858404675433789,-0.28575727106403326,-1,-1,0.02773654729991981,-1,-0.2071514064946829,-1,0.019301653666311203,-1,-1,0.2597761986083521,-1,-1,0.1854041055812231,0.10151433969727108,-1,0.392669757166082,0.26218273109715073,0.5390083939538605,-1
few,-0.03315554662593523,-0.29306930838440337,-1,-1,0.1814891047734597,-1,-0.12649036739365438,-1,-0.07471449480331205,-1,-1,0.15983695548090893,-1,-1,0.2545983807363341,0.008439548032606048,-1,0.2832533925084435,0.23562797553913228,0.6868091223795424,-1
years,0.025609189921733,-0.229940338078362,-1,-1,0.21561910937650564,-1,-0.17406689654482932,-1,0.11735552162275109,-1,-1,0.2909594932691357,-1,-1,0.20421219567760263,0.12774190062445845,-1,0.42536330289020174,0.39111775269068705,0.6759989842161636,-1
public,-0.09419568323132754,-0.3405158464802114,-1,-1,0.09789594801165802,-1,-0.09535684173849557,-1,0.12840760971875143,-1,-1,0.3579503736773886,-1,-1,0.23218868631437084,0.08485185255616856,-1,0.2557958689702058,0.24916965400236313,0.3308432682803476,-1
broadcaster,0.22111915821431571,0.10736156060695357,-1,-1,0.016005024811759916,-1,-0.24881273741022447,-1,0.16341320012347393,-1,-1,0.6170793397549497,-1,-1,0.05415294554888417,0.15385403328047087,-1,0.2808896887038086,0.1629055893674587,0.22072872193210202,-1
nhk,0.16869222391792738,0.28224886205187927,-1,-1,-0.1897647724315621,-1,-0.19448753390028983,-1,0.0039689433563193655,-1,-1,0.2536583314275209,-1,-1,-0.2361416862311716,-0.05950635825848427,-1,-0.09363053324720383,-0.11467651819019498,-0.22578573446282002,-1
reports,-0.12154725488808404,-0.32510459506398903,-1,-1,0.013465484674112793,-1,-0.08605294954662712,-1,-0.0417239120325934,-1,-1,0.4370469350477977,-1,-1,0.12925043023477967,0.0019453043267942949,-1,0.2543305578489504,0.23989715304095383,0.4774250044640618,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
