model,a,change,to,the,imperial,household,law,which,stipulates,the,rules,of,succession,would,require,approval,by,japan,'s,parliament,.
japan,-1,0.3963058855569985,-1,-1,0.2872332628075156,0.09848678362432617,0.3962378621212048,-1,-0.02616572055855859,-1,0.3660492431946233,-1,0.16986919964399716,-1,0.12499639247468464,0.17599078678063296,-1,1.0,-1,0.4664899946506037,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,-0.01431545921407884,-1,-1,0.2561642148771074,0.042387042969007416,0.08827480191417769,-1,0.1265942702969156,-1,-0.023633244243938867,-1,0.13829927542383103,-1,-0.129559750662136,0.010785494809511298,-1,0.2616852189452614,-1,0.0964914851537857,-1
akihito,-1,-0.2742882528511914,-1,-1,0.19710354147179843,-0.20280214347702596,-0.1502671951961363,-1,0.17623109007152937,-1,-0.22894102233438973,-1,-0.03454630734367514,-1,-0.276230177092595,-0.20484954634726016,-1,0.07480472035438579,-1,-0.1909742330651889,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.33391216266211743,-1,-1,0.058584327260529756,0.1714993128564294,0.14708336935802335,-1,0.026367006150952332,-1,0.19737362544226977,-1,0.030636649252621995,-1,0.17624822508345805,0.25746417213213046,-1,0.28347496247634885,-1,0.23130751326252064,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.5558365676481087,-1,-1,0.005148297582628691,0.17416985188808276,0.20307716921373165,-1,-0.0958200550629329,-1,0.24566300736171798,-1,0.30586346019016764,-1,0.30212912406817694,0.43133935154594427,-1,0.28105743052319676,-1,0.2554604714964429,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,0.0020699972575042302,-1,-1,-0.11325039806134929,-0.04937167262507525,-0.0512689208927708,-1,0.11071159845075784,-1,-0.054227683077708866,-1,0.10048214505569653,-1,0.10899761300189126,0.025978657797395388,-1,-0.2018471222131848,-1,-0.053598276576547255,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,0.4996170862067504,-1,-1,0.07608860755395042,0.23577904790228454,0.29104004434973196,-1,-0.11540397014583625,-1,0.3032805109086416,-1,0.2628740034276258,-1,0.2649973908127301,0.3557185164814467,-1,0.45291115529710035,-1,0.6519014103362076,-1
few,-1,0.4273212237848283,-1,-1,-0.010963271116094075,0.2480100068037272,0.22418120403799846,-1,-0.08682689544812439,-1,0.2998067503433217,-1,0.3605285655169086,-1,0.3250105544746317,0.223075372865713,-1,0.3365137087811174,-1,0.3841542566098819,-1
years,-1,0.44387267551845433,-1,-1,0.12277333055178274,0.25721122377116656,0.3626401024528859,-1,-0.1558625880092026,-1,0.3218951578607474,-1,0.2597403333079227,-1,0.24308831660983965,0.2686422330627187,-1,0.4383875868361584,-1,0.4589696373941343,-1
public,-1,0.4550265027833462,-1,-1,0.07858940093328437,0.337390859830599,0.40906188061443827,-1,-0.03466627162360347,-1,0.33681826271037674,-1,0.09543882447662966,-1,0.39093005510270595,0.429480890980521,-1,0.27375462598116407,-1,0.4809522523351556,-1
broadcaster,-1,0.18931118495357324,-1,-1,0.2761434881295435,0.20615562107526353,0.2934347370337158,-1,0.06335412430291587,-1,0.27168215934022255,-1,-0.07354828071477693,-1,0.109722709197136,0.26973852597037695,-1,0.414733685474195,-1,0.4087285098026747,-1
nhk,-1,-0.2043599560922904,-1,-1,0.18753292895025475,0.03842321769261736,-0.04224149602006455,-1,0.16757104513450116,-1,-0.021900344222980594,-1,-0.2903015759864471,-1,-0.1350383419526684,0.025713190864414592,-1,0.0979018154298168,-1,-0.015023146778751384,-1
reports,-1,0.314987983703958,-1,-1,0.02187651744573682,0.08383795098904656,0.3021108155383301,-1,0.04638402558331445,-1,0.2885129934944055,-1,0.131693151431733,-1,0.25181540218532006,0.2486371992611125,-1,0.34677919858781325,-1,0.3350912001863371,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
