model,however,both,palace,and,government,sources,say,the,imperial,household,law,would,have,to,revised,to,allow,for,the,abdication,to,take,place,.
japan,0.48933945759599373,0.5343389276176981,0.4236636090083352,-1,0.4178989897026779,0.23922051187074367,-1,-1,0.2872332628075156,0.09848678362432617,0.3962378621212048,-1,-1,-1,0.29223956080164293,-1,0.3846478201445571,-1,-1,-0.11811952558332472,-1,0.3881038061060761,0.35519115903061194,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-0.025082607703010407,-0.05899958723097343,0.04376665402033397,-1,0.007065205675896413,-0.0651863000191204,-1,-1,0.2561642148771074,0.042387042969007416,0.08827480191417769,-1,-1,-1,0.055123604170372764,-1,-0.020679249749507633,-1,-1,0.2085629080275846,-1,-0.07419423072179554,-0.14918898363804733,-1
akihito,-0.28234146016524475,-0.30965658709097066,-0.12653802144620752,-1,-0.217096314793368,-0.24873639657799274,-1,-1,0.19710354147179843,-0.20280214347702596,-0.1502671951961363,-1,-1,-1,-0.06748901701167687,-1,-0.2530916444277116,-1,-1,0.03750298994726797,-1,-0.2777151482062057,-0.34529536402554983,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.423218921630677,0.3781856261120844,0.2259682168625392,-1,0.2741662033258745,0.22512726439120623,-1,-1,0.058584327260529756,0.1714993128564294,0.14708336935802335,-1,-1,-1,0.13770188458897614,-1,0.18785483251481316,-1,-1,0.10752602429664715,-1,0.1909235606008458,0.16891551341582023,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.4286485408956291,0.46539423810901936,0.2178517598765526,-1,0.30995925335880037,0.18608193208990298,-1,-1,0.005148297582628691,0.17416985188808276,0.20307716921373165,-1,-1,-1,0.22815406469781419,-1,0.3541412937967858,-1,-1,0.21294336824566296,-1,0.33473211296206207,0.296233938050422,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-0.18645920637427116,-0.1808986404834385,-0.09840103809904721,-1,-0.06226836513413758,-0.21311790465904212,-1,-1,-0.11325039806134929,-0.04937167262507525,-0.0512689208927708,-1,-1,-1,-0.03503067705668084,-1,0.13804210080889456,-1,-1,0.28823496774540835,-1,0.052306996698835206,-0.07440115467522679,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,0.4779562767317116,0.4689578724419047,0.4006955153077483,-1,0.36219623707258863,0.12919368132267728,-1,-1,0.07608860755395042,0.23577904790228454,0.29104004434973196,-1,-1,-1,0.3302918615612245,-1,0.413307854677219,-1,-1,0.049148844442058026,-1,0.5469532386443166,0.4597790315555669,-1
few,0.547991650264448,0.5541623718079504,0.14813296135052434,-1,0.305371946718928,0.38295085869129675,-1,-1,-0.010963271116094075,0.2480100068037272,0.22418120403799846,-1,-1,-1,0.19714920153903348,-1,0.3902696961453731,-1,-1,-0.0923075859341338,-1,0.4887488862476026,0.3513963965642868,-1
years,0.5130647832887592,0.5679137610590375,0.27103687042349467,-1,0.4157362954435908,0.25105010474024425,-1,-1,0.12277333055178274,0.25721122377116656,0.3626401024528859,-1,-1,-1,0.2323054136794811,-1,0.39643187641960365,-1,-1,0.0003216816495194008,-1,0.501210563441821,0.4108724404785853,-1
public,0.4458348540872238,0.40927576670810173,0.16894834765501754,-1,0.3840105255578856,0.25146884869367525,-1,-1,0.07858940093328437,0.337390859830599,0.40906188061443827,-1,-1,-1,0.23161647196978952,-1,0.456768263831706,-1,-1,0.019533583636247465,-1,0.3571754032665747,0.3662750358127791,-1
broadcaster,0.3480135067187089,0.24862561233717095,0.28599766112435576,-1,0.38029905055723046,0.4758593747379585,-1,-1,0.2761434881295435,0.20615562107526353,0.2934347370337158,-1,-1,-1,0.14185610456858277,-1,0.2560156052933267,-1,-1,-0.19737960616667127,-1,0.12069671322142272,0.12505442125429633,-1
nhk,-0.02873853256229797,-0.2302784223395946,0.005827322941811541,-1,0.0030168953730097536,0.16544761404217334,-1,-1,0.18753292895025475,0.03842321769261736,-0.04224149602006455,-1,-1,-1,0.003831052101717969,-1,-0.10692607897420059,-1,-1,-0.18890995669249255,-1,-0.24021833725344433,-0.20774450225921237,-1
reports,0.63988395028283,0.4742174817912155,0.26005068172192924,-1,0.43127105495760554,0.6505711941823539,-1,-1,0.02187651744573682,0.08383795098904656,0.3021108155383301,-1,-1,-1,0.21662509227270832,-1,0.2794011914405733,-1,-1,0.009189472485790162,-1,0.28383093421848904,0.2805085159061378,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
