model,his,family,had,accepted,his,decision,an,unnamed,palace,source,told,nhk,.
japan,-1,0.2586069482605461,-1,0.290022553891514,-1,0.45932592322643195,-1,0.05790535632304317,0.4236636090083352,0.32307909166100435,-1,0.0979018154298168,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-1,-0.006868399252504487,-1,0.15394449109623498,-1,0.0011490675321724764,-1,0.16270177707454248,0.04376665402033397,-0.054596698280638956,-1,0.16869222391792738,-1
akihito,-1,-0.2910182083578208,-1,-0.10208622920427013,-1,-0.22903427645689378,-1,-0.06104823502348178,-0.12653802144620752,-0.3338259637518648,-1,0.28224886205187927,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,-1,0.40960347000118114,-1,0.46896375825314507,-1,0.36275998378244256,-1,0.21322177804328835,0.2259682168625392,0.2925841003782339,-1,0.06689314865287299,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,-1,0.4384586801494328,-1,0.49360770392448494,-1,0.478797592917824,-1,0.10775697012923613,0.2178517598765526,0.3202863676917005,-1,-0.20892955405403635,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-1,-0.0715554388178834,-1,0.04747755419441313,-1,0.013813233189765017,-1,-0.08284739576503375,-0.09840103809904721,-0.2697748477063815,-1,-0.2416167848293327,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
next,-1,0.38994752598928184,-1,0.3456871117367404,-1,0.505260682439126,-1,0.03938271544780381,0.4006955153077483,0.2819236301135737,-1,-0.13503098620286114,-1
few,-1,0.43234211194448924,-1,0.3484390166424782,-1,0.39887141044909247,-1,0.1825044261446176,0.14813296135052434,0.3155101263023681,-1,-0.19104944766129073,-1
years,-1,0.485175392111301,-1,0.420994599254505,-1,0.39469544693513126,-1,0.14714349912612656,0.27103687042349467,0.36393884823380107,-1,-0.18381237294889852,-1
public,-1,0.4574691071974164,-1,0.4281390345579068,-1,0.47161941021190357,-1,0.12848350337262493,0.16894834765501754,0.4070017696476991,-1,0.2008355818887695,-1
broadcaster,-1,0.2746347365623645,-1,0.30105422586688046,-1,0.293735030520186,-1,0.35277611987853497,0.28599766112435576,0.5115722336604889,-1,0.7368520685577417,-1
nhk,-1,-0.12805586080805864,-1,-0.03531278113913605,-1,-0.029271143578321723,-1,0.10245911969780497,0.005827322941811541,0.11125532987998377,-1,1.0,-1
reports,-1,0.45002518311164263,-1,0.5195359900871822,-1,0.4084948959214385,-1,0.5366110958989546,0.26005068172192924,0.6158614406864116,-1,0.23844820776166653,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
