model,despite,a,categorical,denial,of,the,reports,by,imperial,palace,spokesman,shinichiro,yamamoto,the,emperor,'s,reported,wishes,are,being,given,prominent,attention,in,the,japanese,media,.
japan,0.40765250924583474,-1,-0.39338449777085494,0.08895895924650288,-1,-1,0.34677919858781325,-1,0.2872332628075156,0.4236636090083352,0.3379405504667202,-0.5611404602209156,-0.3747700335814905,-1,0.2616852189452614,-1,0.41928711982454603,0.18105959352940748,-1,-1,0.22697621016329428,0.19973048118757397,0.1996732671576481,-1,-1,0.6072748044977511,0.33926350451154663,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emperor,-0.1513005602890385,-1,-0.08891978757725516,-0.07207058639134134,-1,-1,-0.12154725488808404,-1,0.2561642148771074,0.04376665402033397,0.044651187325976505,-0.26794065114244026,0.09272255716617372,-1,1.0,-1,-0.08029340960814979,0.1306003670534004,-1,-1,-0.05584944090120447,0.12053818062524646,-0.06992012368821254,-1,-1,0.2549871663393466,-0.08915441259444123,-1
akihito,-0.3443102481259266,-1,-0.0735220648003383,-0.06833312797593138,-1,-1,-0.32510459506398903,-1,0.19710354147179843,-0.12653802144620752,-0.07415108847883767,0.09184671688001489,0.30780655938262913,-1,0.8252696643543547,-1,-0.30635618206631876,-0.06427285414343942,-1,-1,-0.3823356046157298,-0.12602259891085543,-0.2848640827462816,-1,-1,-0.0027830359396692206,-0.3270948533377718,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
expressed,0.40475357469424256,-1,0.05683417987751682,0.06575530356466197,-1,-1,0.3825252460530195,-1,0.058584327260529756,0.2259682168625392,0.2516651647632744,-0.3508009992238428,-0.1538149953896668,-1,0.07509765284250103,-1,0.3416019129375276,0.341768454655887,-1,-1,0.3289689779218957,0.20924767260093025,0.39042741573814643,-1,-1,0.3133716418211957,0.355879155681626,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
desire,0.4525225853753283,-1,0.11590706767932324,0.09520445069608108,-1,-1,0.22310827632362917,-1,0.005148297582628691,0.2178517598765526,0.15627349935488444,-0.5443432688668697,-0.38024969951752263,-1,0.11357325428797993,-1,0.18055767494037012,0.5516825191935136,-1,-1,0.470243169993237,0.22621218344013805,0.43244765294695797,-1,-1,0.2480285734647647,0.24769319365135245,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abdicate,-0.14901049316888693,-1,0.13279976042544117,-0.10072528715906404,-1,-1,-0.3758563361324816,-1,-0.11325039806134929,-0.09840103809904721,-0.34590512585660704,0.12683747229610465,0.05688918324757386,-1,0.1765118617370297,-1,-0.35363744649692985,0.282403978485549,-1,-1,-0.08539633115211864,-0.21812517822107935,0.009154792906348908,-1,-1,-0.24834315832228482,-0.27447011546840927,-1
