model,prof,paabo,and,his,colleagues,have,pioneered,methods,to,extract,dna,from,ancient,human,remains,and,read,its,genetic,code,.
dna,0.21240351220609432,-0.2833940560810173,-1,-1,0.27210591735808487,-1,0.14223313508901692,0.422519243042071,-1,0.42096077126778075,1.0,-1,0.49084453658166494,0.32527364194947417,0.18783893007865782,-1,0.4412227310577228,-1,0.6183357831320831,0.5091854215208061,-1
analysis,0.5484119208784207,-0.0568585250685425,-1,-1,0.32028360656444466,-1,0.21409536084269765,0.37847359812233905,-1,0.3545165617297885,0.6279804068184603,-1,0.30287208123528453,0.22307389300028957,0.2507630493831118,-1,0.6089165550159943,-1,0.53421779171413,0.39566216284139255,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-0.3301297867635338,0.37324527311528066,-1,-1,-0.5322441267227651,-1,-0.2463868118030006,-0.46165092064541335,-1,-0.31209426562084763,-0.32823012441935884,-1,-0.3344877953467351,-0.28773343576130794,-0.39210239353937504,-1,-0.4760406949719307,-1,-0.3010971943875633,-0.38170312646436266,-1
human,0.13322148563329173,-0.29948010085094756,-1,-1,0.3230132433230446,-1,0.03680926013410668,0.3504703507760907,-1,0.014280530690218396,0.32527364194947417,-1,0.3812442504184149,1.0,0.4774114034400707,-1,0.2843655391655434,-1,0.3512722698444688,0.3539168933260981,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,0.21844598102287005,-0.31293732150764075,-1,-1,0.411708121043459,-1,0.18467672515618205,0.22672127741352255,-1,0.311004136638394,0.2067219138434303,-1,0.08686808725553496,0.21242947696701242,0.25473273270847674,-1,0.34937803193728145,-1,0.036463322362637385,0.13112183022521773,-1
scientists,0.5010710366134502,-0.1796042501849895,-1,-1,0.5549487309877699,-1,0.35871354037039793,0.4505772651093707,-1,0.31139302061344276,0.44643210498575214,-1,0.45189987374066676,0.3774854109682124,0.3623216264042366,-1,0.351736802154197,-1,0.37463776981051766,0.2621424865105906,-1
pinpoint,-0.016379074535723737,-0.20407275729705354,-1,-1,0.042910441645683695,-1,0.047107801421752526,0.20195622061399832,-1,0.46203104927889616,0.22066589886895382,-1,0.14214764920420486,0.09738531569464381,0.1522151559074849,-1,0.1556769290496336,-1,0.2759161036408151,0.1999895787563568,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,0.036635033536918216,-0.054839447547219144,-1,-1,0.5825510179667058,-1,0.025163075187078943,0.3680711314668028,-1,0.0018125787751515077,0.34172070037499447,-1,0.3689086877123867,0.39228962479141705,0.2045915140771697,-1,0.15804645627579805,-1,0.29332251839997114,0.18418362598959614,-1
interbred,-0.14523261734941384,0.34961724886049694,-1,-1,0.03068470689613556,-1,0.07734988856551162,-0.07652376606857181,-1,-0.25213861271835647,-0.17038428772539738,-1,-0.07674533427160446,-0.1911270599596231,-0.32935214840194305,-1,-0.35099621596023,-1,-0.09574712226307525,-0.23016293458939097,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,0.0415634053920203,0.09577921165299852,-1,-1,0.19852995654076722,-1,0.25510609909241755,0.24370233589457158,-1,0.13551339311829524,0.2048933799724838,-1,0.2956500453645323,0.1225071522222958,-0.10942911283004797,-1,0.02537437899752748,-1,0.14024495559022165,-0.010820737765067978,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
