model,the,analysis,raises,the,possibility,that,the,human,line,first,emerged,millions,of,years,earlier,than,current,estimates,.
dna,-1,0.6279804068184603,0.09975669294046208,-1,0.16136991756491792,-1,-1,0.32527364194947417,0.09896231311155934,-1,0.396478255363113,0.2667733172740423,-1,0.22729718329256854,0.22003307225186042,-1,0.23562458353750193,0.2864562059864115,-1
analysis,-1,1.0,0.28078726235824814,-1,0.23286669207044497,-1,-1,0.22307389300028957,0.24675709748958508,-1,0.38888341820483396,0.24092559716842366,-1,0.2529305436634415,0.32525573194745605,-1,0.434091770591304,0.5183435743470287,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-0.4204670547607434,-0.25069249266042615,-1,-0.48638426510772836,-1,-1,-0.28773343576130794,-0.5377881914909324,-1,-0.4349290367583323,-0.4398641772113969,-1,-0.50466176419077,-0.5017310033693181,-1,-0.5564698355326549,-0.4348451448269308,-1
human,-1,0.22307389300028957,0.2823731953299715,-1,0.3568052536810906,-1,-1,1.0,0.1346440463735522,-1,0.19806963068569328,0.28874420826209046,-1,0.2777350885257288,0.28699062158723865,-1,0.3627858869677888,0.30555755618953584,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,0.24569488781334659,0.06377047718276718,-1,0.2681705320421669,-1,-1,0.21242947696701242,0.38003662001484995,-1,0.27873155631015645,0.46236358913388065,-1,0.41820179849783523,0.45571033890595924,-1,0.30989749956515944,0.20386479361807663,-1
scientists,-1,0.4744631198803261,0.17353300208647693,-1,0.375683267336798,-1,-1,0.3774854109682124,0.17846503894950383,-1,0.4038293617833404,0.4042473937482858,-1,0.37211774501335393,0.3780197913330545,-1,0.34788334315663483,0.5087216518646323,-1
pinpoint,-1,0.1038549214618848,0.07384155845999318,-1,0.0845573433925807,-1,-1,0.09738531569464381,0.34033101011174016,-1,-0.032149549189160354,0.07631280141620422,-1,-0.08984440108912706,-0.12837397104592307,-1,0.04397564194369452,-0.11890134978041766,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,0.1397030513177948,-0.0008284064034094207,-1,0.038567934057688325,-1,-1,0.39228962479141705,0.028978071602732913,-1,0.1010096156476451,0.20758879056051438,-1,0.16054182259641236,0.03836174327997699,-1,0.20948901793481134,0.13124718353925446,-1
interbred,-1,-0.2786712269678917,-0.2584684081990265,-1,-0.3403262613193787,-1,-1,-0.1911270599596231,-0.2459192529245886,-1,-0.259882469677847,-0.20341578244227243,-1,-0.32595277457593097,-0.4076207653221806,-1,-0.27823226676761625,-0.2605482734288662,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,0.06258787685402989,-0.04489476316517371,-1,-0.025258175206293254,-1,-1,0.1225071522222958,-0.12350736520394467,-1,0.14683280779701358,0.16551698210360144,-1,0.08319281400972645,-0.03400955306819853,-1,-0.03216034746185925,0.18429416506862606,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
