model,the,male,hunter,is,one,of,the,earliest,modern,humans,discovered,in,eurasia,.
dna,-1,0.28381170480393925,0.04570878285012825,-1,0.166739639149722,-1,-1,0.2571414193818642,0.2832451466661845,0.3733377689758246,0.5084738011569955,-1,-0.04715950152375248,-1
analysis,-1,0.14387798197586044,0.18828148974330317,-1,0.2897869699691966,-1,-1,0.20710067757112094,0.3303036829309949,0.32966936708788164,0.35766871302128544,-1,-0.05429967475769226,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-0.30014298360623726,-0.35645152715254724,-1,-0.5021250591877124,-1,-1,-0.2892850300286387,-0.38759166249562926,-0.5097953190740547,-0.47286660686105453,-1,-0.0468496291895788,-1
human,-1,0.24725889718506489,0.13486786119723138,-1,0.3044113652152258,-1,-1,0.13087759921083109,0.4274079134070208,0.36468159665665434,0.31027296951954875,-1,0.04514148493794967,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,0.28232686925616524,0.18912926470397928,-1,0.4261927156720535,-1,-1,0.16512575382104056,0.18110016762297165,0.2746604870196223,0.2941752847692307,-1,-0.029196696062592453,-1
scientists,-1,0.3929778850251089,0.14422670354519562,-1,0.38035543196247334,-1,-1,0.2447350340662704,0.43745203670682875,0.5883245176963328,0.5913622184730958,-1,-0.027656652448053043,-1
pinpoint,-1,0.10430131218427108,0.008398449518900009,-1,0.08910200500307208,-1,-1,0.041448786038452146,0.1800516306387855,0.3094797015980848,0.0663882163527364,-1,-0.21338105824923592,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,0.42143630796030496,0.0028761619059434196,-1,0.12921277353013227,-1,-1,0.26796124285259815,0.3544995179610577,0.3530375850044871,0.26548770099584407,-1,0.1319565728218146,-1
interbred,-1,0.017868385535451226,-0.1807778220426559,-1,-0.32053506860098246,-1,-1,-0.19036944037036196,0.024834248833319084,0.09627811286667232,-0.25203904639942465,-1,0.08737973347656569,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,0.15477861064247,0.03814947712984318,-1,-0.08894155411974425,-1,-1,-0.027131963987849783,0.42348398006324794,0.6266139158500166,0.17759681926830173,-1,0.05573180722234239,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
