model,by,extrapolating,the,size,of,dna,chunks,backwards,prof,paabo,and,his,colleagues,were,able,to,calculate,when,the,first,interbreeding,with,neanderthals,occurred,.
dna,-1,-0.044068746867905295,-1,0.3638031992567803,-1,1.0,0.14227927980743293,-0.19584532005102662,0.21240351220609432,-0.2833940560810173,-1,-1,0.27210591735808487,-1,0.32363680384560056,-1,0.3070645239562366,-1,-1,-1,-0.08900307623513681,-1,0.2048933799724838,0.37784184539406007,-1
analysis,-1,-0.05520488477665486,-1,0.3410982944325526,-1,0.6279804068184603,0.05793517425366401,-0.02860599554529797,0.5484119208784207,-0.0568585250685425,-1,-1,0.32028360656444466,-1,0.2660231274494349,-1,0.28069362169508827,-1,-1,-1,-0.12346518554477015,-1,0.06258787685402989,0.27481296531722965,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,0.38868640292966217,-1,-0.44904162482294496,-1,-0.32823012441935884,-0.10088162207232498,-0.2631911582979236,-0.3301297867635338,0.37324527311528066,-1,-1,-0.5322441267227651,-1,-0.5702205138184957,-1,-0.26751974231280884,-1,-1,-1,0.1154011303817466,-1,-0.21602100819349945,-0.5092843503960396,-1
human,-1,-0.18119831378260742,-1,0.3599498246044426,-1,0.32527364194947417,0.06847634363424693,-0.04767333908518334,0.13322148563329173,-0.29948010085094756,-1,-1,0.3230132433230446,-1,0.2882855709214516,-1,0.11367532061887542,-1,-1,-1,-0.19811781038896803,-1,0.1225071522222958,0.28766127392402774,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-0.29613047192400455,-1,0.3183560468941202,-1,0.2067219138434303,0.14147967410225204,0.20685281068608985,0.21844598102287005,-0.31293732150764075,-1,-1,0.411708121043459,-1,0.6125132178398289,-1,0.25421613975482327,-1,-1,-1,-0.25184653434789706,-1,-0.0498789333801799,0.26041757432346535,-1
scientists,-1,-0.23227797916533421,-1,0.29992655102707544,-1,0.44643210498575214,0.028067142683363522,0.009293924130299946,0.5010710366134502,-0.1796042501849895,-1,-1,0.5549487309877699,-1,0.5199987388865375,-1,0.4486819574401597,-1,-1,-1,-0.14013204286734382,-1,0.2810930348789882,0.34387472272699193,-1
pinpoint,-1,0.01359125910177117,-1,0.11066216783131733,-1,0.22066589886895382,0.11158380895656517,0.12867644682253554,-0.016379074535723737,-0.20407275729705354,-1,-1,0.042910441645683695,-1,0.24489177936090134,-1,0.4546824508266363,-1,-1,-1,0.01956771554906933,-1,0.152673679728763,0.1154356505070544,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,0.04341698657375159,-1,0.2616488056183581,-1,0.34172070037499447,0.1726542832762239,-0.04402438587363977,0.036635033536918216,-0.054839447547219144,-1,-1,0.5825510179667058,-1,0.18826850454541066,-1,0.15587239525611885,-1,-1,-1,0.0339171605025842,-1,0.3792019453179335,0.07911806863878579,-1
interbred,-1,0.17941907399391144,-1,-0.31384408255326646,-1,-0.17038428772539738,-0.014690108336586905,-0.2092819476708041,-0.14523261734941384,0.34961724886049694,-1,-1,0.03068470689613556,-1,-0.26776100196533714,-1,-0.1304733888109515,-1,-1,-1,0.5779575779939139,-1,0.5043020308985615,-0.35277476783112816,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,0.06921641109970955,-1,0.030066946789769622,-1,0.2048933799724838,0.023290539430468216,-0.03274641550602064,0.0415634053920203,0.09577921165299852,-1,-1,0.19852995654076722,-1,-0.0031526114078888057,-1,0.290195914072503,-1,-1,-1,0.4152168690300282,-1,1.0,0.07013554072149908,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
