model,the,work,of,prof,svante,paabo,from,the,max,planck,institute,in,leipzig,germany,is,rewriting,the,story,of,humanity,.
dna,-1,-1,-1,0.21240351220609432,-0.31138504587465166,-0.2833940560810173,-1,-1,0.12361647333757453,0.0132128072844655,0.28655962216638997,-1,-0.0537659177670915,0.06439480225459726,-1,0.1761360996820791,-1,0.367532230006836,-1,0.2712746416193259,-1
analysis,-1,-1,-1,0.5484119208784207,-0.1628089306193603,-0.0568585250685425,-1,-1,0.24865399945425148,0.10998080178014569,0.47672100803476003,-1,-0.0023458233656572514,0.08606695359806105,-1,0.2244094777763156,-1,0.41471825066416024,-1,0.11397640638073137,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-1,-1,-0.3301297867635338,0.6116701331050104,0.37324527311528066,-1,-1,-0.37656400530017065,0.007957065553685805,-0.4009117985720694,-1,0.023212323003007018,-0.5548451612505754,-1,-0.001470214782575141,-1,-0.3645940493395985,-1,-0.31172793059122417,-1
human,-1,-1,-1,0.13322148563329173,-0.3453517284052574,-0.29948010085094756,-1,-1,0.06522113896510118,-0.008789437744394446,0.3492104553220178,-1,-0.074124043641838,0.315099794936915,-1,0.05091017889551985,-1,0.2174361984839559,-1,0.3465558604455692,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-1,-1,0.21844598102287005,-0.4888812009807504,-0.31293732150764075,-1,-1,0.15547450905251425,-0.17529424452493125,0.16698245845179072,-1,-0.06640910722406934,0.4556341332216669,-1,-0.21032700380830915,-1,0.2556120020785726,-1,0.18960778669373424,-1
scientists,-1,-1,-1,0.5010710366134502,-0.2981403318119318,-0.1796042501849895,-1,-1,0.11187995634204362,0.05086309670373368,0.4930700938882866,-1,-0.0240224558686013,0.3061733749736413,-1,0.041406735728664046,-1,0.3254808777593332,-1,0.1507274193773117,-1
pinpoint,-1,-1,-1,-0.016379074535723737,-0.30137009622510513,-0.20407275729705354,-1,-1,0.08742292200189739,-0.09993020994948365,-0.05601401424108743,-1,0.06849055469360699,0.018136288333082895,-1,0.08130018507474901,-1,0.12454347262878507,-1,0.09802212555883838,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,-1,-1,0.036635033536918216,-0.18170250656578046,-0.054839447547219144,-1,-1,0.030760217113521837,-0.042897779382361945,0.1200412601342693,-1,0.01437368568138675,0.007154678446266716,-1,0.18117235783168828,-1,0.13658381141985076,-1,0.2182113476563744,-1
interbred,-1,-1,-1,-0.14523261734941384,0.37508765132023947,0.34961724886049694,-1,-1,-0.12002426669665511,0.004174315949968754,-0.24220408921254188,-1,0.12153869770776216,-0.2513103007857551,-1,-0.025500249751594817,-1,-0.2789908580957241,-1,-0.08955489865524369,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-1,-1,0.0415634053920203,0.041183003930315376,0.09577921165299852,-1,-1,0.06622967177255967,-0.07470019795267202,-0.024153170766384457,-1,0.0919714230790466,0.06921471606320306,-1,0.038862801463038554,-1,-0.006319062053674829,-1,0.08485692449881244,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
