model,this,is,a,key,moment,at,the,cross,roads,of,the,world,when,modern,humans,were,on,the,cusp,of,an,expansion,into,europe,and,asia,.
dna,-1,-1,-1,0.14958515089501712,0.19926877929852915,-1,-1,0.2152514017374696,0.02774722848246869,-1,-1,0.15275909802873677,-1,0.2832451466661845,0.3733377689758246,-1,-1,-1,0.06694495729640182,-1,-1,0.08916136603274571,-1,0.10285289624477345,-1,0.08015368305177062,-1
analysis,-1,-1,-1,0.30074221061153594,0.3234295297003712,-1,-1,0.2504100227025807,0.13866763005465677,-1,-1,0.23134042248687114,-1,0.3303036829309949,0.32966936708788164,-1,-1,-1,0.04101047780581446,-1,-1,0.32211364674431875,-1,0.24070997690026819,-1,0.24142368407318093,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,000-year-old,-1,-1,-1,-0.3829689614341545,-0.484227566746271,-1,-1,-0.4230053176123756,-0.4688620361864644,-1,-1,-0.4472903367935439,-1,-0.38759166249562926,-0.5097953190740547,-1,-1,-1,-0.06526121038791288,-1,-1,-0.4762272094701181,-1,-0.6033526461363266,-1,-0.4389703787683723,-1
human,-1,-1,-1,0.2465212643683664,0.22611533355697921,-1,-1,0.22153986198913567,0.22045957509265302,-1,-1,0.2708687832533583,-1,0.4274079134070208,0.36468159665665434,-1,-1,-1,-0.022579979767404,-1,-1,0.11460435449767936,-1,0.3841648050701474,-1,0.2759340643343826,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
helped,-1,-1,-1,0.25592160542862596,0.2546360020597689,-1,-1,0.4150008375828187,0.2435020748055301,-1,-1,0.41843900568309844,-1,0.18110016762297165,0.2746604870196223,-1,-1,-1,-0.25334841269404773,-1,-1,0.28668172334650843,-1,0.4583908835079018,-1,0.2406188235450153,-1
scientists,-1,-1,-1,0.27185368222724304,0.3526119343121199,-1,-1,0.18317952153195127,0.18556682165203253,-1,-1,0.28252399186072785,-1,0.43745203670682875,0.5883245176963328,-1,-1,-1,-0.02393947145625752,-1,-1,0.2555009276621729,-1,0.4154252894172612,-1,0.2716631798594593,-1
pinpoint,-1,-1,-1,0.08621590705184856,0.1837947838089623,-1,-1,0.6627756552490192,0.2059594673119588,-1,-1,-0.05345454359818014,-1,0.1800516306387855,0.3094797015980848,-1,-1,-1,0.10726692981895869,-1,-1,0.08127100855407421,-1,0.1779400110503715,-1,0.06079228260830227,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
our,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestors,-1,-1,-1,0.11267256045565144,0.16862728110842873,-1,-1,0.109023029334957,0.1526312856865759,-1,-1,0.09915898185597694,-1,0.3544995179610577,0.3530375850044871,-1,-1,-1,0.06457816212980338,-1,-1,-0.03902820131439788,-1,0.19049994264300263,-1,0.09367065067102631,-1
interbred,-1,-1,-1,-0.2859805978935952,-0.3159032577694718,-1,-1,-0.18792509519198575,-0.2349243464283619,-1,-1,-0.15885286488405326,-1,0.024834248833319084,0.09627811286667232,-1,-1,-1,-0.10885253313160059,-1,-1,-0.41466889324165024,-1,-0.23243801529444852,-1,-0.2050596285245807,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neanderthals,-1,-1,-1,-0.1533901217974174,-0.013111433513831594,-1,-1,0.04760596780486659,-0.09984938259499998,-1,-1,-0.005689191884181266,-1,0.42348398006324794,0.6266139158500166,-1,-1,-1,0.06014452711657592,-1,-1,-0.10768087977475815,-1,0.11706549671202393,-1,0.14560731656285575,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
