model,one,lane,in,each,of,the,brynglas,tunnels,in,newport,was,blocked,due,to,flooding,while,dyfed-powys,police,reported,a,number,of,flooded,roads,in,powys,pembrokeshire,and,carmarthenshire,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,0.3254501054604879,0.1384837129647417,-1,0.3809751440891329,-1,-1,-0.18275686712413175,0.14042079310089006,-1,0.4976146659855951,-1,0.40862283036372227,-1,-1,0.06826744460049516,0.36414841272361786,0.12627424887987226,0.26445979447375434,0.297562916016588,-1,0.2245026388997966,-1,0.05507938888109998,0.1506027172327834,-1,0.02453736516075944,0.17015359703856103,-1,0.14259722068211966,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,0.3539249798018318,0.08281981259947857,-1,0.3474987994672325,-1,-1,-0.34861564848703974,0.04643489034927728,-1,0.11028117670829485,-1,0.2845783729731335,-1,-1,0.2459942613197087,0.4412303560299864,0.2611608873115461,0.4591279227456153,0.4065326670696975,-1,0.36322288081238574,-1,0.21839235872401574,0.27384491957948043,-1,0.15220229142969854,0.14064415701270327,-1,0.04726734710994285,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,0.30221049928475363,0.2002638975422939,-1,0.3225980733405531,-1,-1,-0.16481571243994808,0.20662810101304152,-1,0.05703383928684469,-1,0.3141299282347353,-1,-1,0.6451143272948286,0.34867547245192765,0.09374329454614527,0.2492377958314449,0.46024567560893614,-1,0.24534355230751825,-1,0.37944378367117304,0.3955105894384805,-1,0.16577411582503365,0.09304379445711664,-1,0.17871101176105308,-1
warning,0.2830173926125903,0.15773861237576614,-1,0.3210492614228869,-1,-1,-0.29047272007162284,0.09047728731639715,-1,0.1465657604337811,-1,0.33303037078219766,-1,-1,0.36993753135795826,0.39258814301541656,0.23289482698642527,0.39641456458144053,0.4686433729982997,-1,0.24792882629507562,-1,0.22648829719099772,0.27369522291611115,-1,0.11367818180876765,0.16635669119611107,-1,0.08723054703769306,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,-0.1976692320052964,-0.11693477955719,-1,-0.1107836635735413,-1,-1,0.3139299253617531,0.31557879655597953,-1,-0.2688320529789019,-1,-0.033785442209955274,-1,-1,0.1219947830215874,-0.2318971806946306,-0.06748118874575093,-0.12930179444735335,-0.1728055880654733,-1,-0.1859440842279172,-1,0.2511249290918831,0.039396365504038355,-1,0.10312453333875793,0.07625865128546838,-1,-0.059958195786271595,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,0.40374686661531345,0.2688750571314009,-1,0.4918263277404644,-1,-1,-0.009275651554999431,0.35419327023992386,-1,0.2698255725695675,-1,0.4085759041194883,-1,-1,0.5424876863210478,0.4503181742186845,0.1793193153603433,0.3305316272815302,0.3919727405543987,-1,0.4736491991499866,-1,0.4753536171264925,0.5558737298327183,-1,0.2785729113839561,0.31299705285897184,-1,0.16769333913248696,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,0.46214799841440657,0.2996156466234088,-1,0.47527018957675293,-1,-1,-0.3304027730377199,0.04851207738151486,-1,0.44811108562284696,-1,0.30332480698545994,-1,-1,0.3868642447403813,0.6022631720022319,0.30073564739824277,0.484978722124656,0.36453797830041823,-1,0.4988822810054152,-1,0.22309712852387276,0.34654854199801144,-1,0.3438724560663331,0.3661319151897834,-1,0.2317035415639388,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,0.5187851624364255,0.5307159765344763,-1,0.549235269025274,-1,-1,-0.21763192371263318,0.07760873596240303,-1,0.4568012067297631,-1,0.3625033127477004,-1,-1,0.30424098645495756,0.5656496084790489,0.14580060864529854,0.4381123205010331,0.5373357338445365,-1,0.3436261651300232,-1,0.2564569580472362,0.35123990976568065,-1,0.19714162878191943,0.2335610599809247,-1,0.1573702543455775,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
