model,this,latest,band,of,heavy,rain,is,expected,to,last,until,tuesday,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,-1,0.14525103433303144,0.20679041547006582,-1,0.17389459207081148,0.22065393017345403,-1,0.10173416087763942,-1,-1,0.14992443941857259,0.16581847572083475,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.26987263421326446,0.12126492813724965,-1,0.2637042081334562,0.261617113737161,-1,0.3954323682702374,-1,-1,0.3146754551935975,0.33152622225377937,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.32336116066581466,0.07535831374183966,-1,0.49468800813012526,0.5840699639167375,-1,0.40675857772604107,-1,-1,0.3427796159788723,0.35698911629040286,-1
warning,-1,0.23632167074195598,0.024353683265360915,-1,0.4048793999202318,0.4969660352347458,-1,0.34274037027418647,-1,-1,0.25325766683949713,0.4457619056808637,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,-1,-0.15988552469776773,-0.1178936747770547,-1,-0.03449787532795612,0.0544683332455046,-1,-0.007128349639563103,-1,-1,0.05844298127887626,-0.19933566205492492,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.27557916185335074,0.2453363584668422,-1,0.4422052743358451,0.42516987573366305,-1,0.3998260786024508,-1,-1,0.2365083283668531,0.2733215410712908,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,-1,0.3077670383012421,0.250502053894619,-1,0.23490002684522915,0.29750453567123725,-1,0.5186474298157624,-1,-1,0.3967897150522892,0.483635297904624,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,-1,0.3864289050109828,0.32817042006950625,-1,0.3333623065377713,0.3860769076543855,-1,0.5333053449041946,-1,-1,0.5423083557665005,0.9064362895690402,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
