model,leah,williams,captured,flooding,in,burry,port,near,llanelli,as,a,river,overflowed,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,-0.09892675000807816,0.26259073586391346,0.2777802861708124,0.06826744460049516,-1,-0.08171965439183171,0.29731752626025487,0.20916526904762633,0.0965216680015405,-1,-1,0.17250248583102668,-0.22010402427931108,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-0.05367811553384705,0.2956901644757859,0.38696564029503,0.2459942613197087,-1,-0.24081938111443435,0.16829665906613955,0.15456258521729183,0.13199314883075652,-1,-1,0.05007225328472242,-0.39714424349492905,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,0.01709993574788593,0.09812052940500715,0.24954444407334253,0.6451143272948286,-1,-0.2111207306609455,0.11870769843176487,0.23479148674917738,0.1117694044514339,-1,-1,0.24557438474995308,-0.07414751841436962,-1
warning,0.028517698880539566,0.22607261074258456,0.24888788086919145,0.36993753135795826,-1,-0.14721228302455458,0.16321291933006787,0.1656320573242872,0.061759633961031124,-1,-1,0.15798156040261024,-0.149313827671548,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,0.018728115133731293,-0.17143427366489594,0.06598779722387671,0.1219947830215874,-1,-0.030500077668984327,-0.17283520445578193,-0.09898119297279262,0.052039500505282166,-1,-1,-0.0033148205717314916,0.25305241187656535,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-0.10229003811686899,0.135377818571084,0.41554333761416606,0.5424876863210478,-1,0.005916243269267318,0.3665717614641322,0.3526884861994988,0.1668381129937796,-1,-1,0.422851811715916,-0.08906537428223826,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,-0.04016836402939794,0.48969581863278133,0.15547395662728158,0.3868642447403813,-1,-0.07420756621944435,0.41815432590373747,0.24597167874185322,0.2894365820613338,-1,-1,0.34215599412546593,-0.3024908996386404,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,0.15072329612404667,0.27317619256082537,0.33924933417123626,0.30424098645495756,-1,-0.09539175296999325,0.36005772689053195,0.44775424771091066,0.3599080105665948,-1,-1,0.2575288334284662,-0.17807384910344837,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
