model,the,met,office,warned,of,heavy,rain,in,the,morning,followed,by,heavy,showers,from,04:00,gmt,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,-1,0.157225614526999,0.3329209572699945,0.05504050797817528,-1,0.17389459207081148,0.22065393017345403,-1,-1,0.24150721413701637,0.3016412464378201,-1,0.17389459207081148,-0.12702060784331204,-1,-1,0.22286563355042321,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.5531660522669622,0.41972482247363874,0.5257701324582237,-1,0.2637042081334562,0.261617113737161,-1,-1,0.2913071512355394,0.4569143772181925,-1,0.2637042081334562,0.18381846093294696,-1,-1,0.15046447157142318,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.2856854317185614,0.3336056375644221,0.3524849074465257,-1,0.49468800813012526,0.5840699639167375,-1,-1,0.5816015575694533,0.502143344438663,-1,0.49468800813012526,0.5032485865556086,-1,-1,0.17296134301828814,-1
warning,-1,0.3794118654820695,0.4942489959444709,0.5137528427830096,-1,0.4048793999202318,0.4969660352347458,-1,-1,0.449835525305881,0.4881275557051259,-1,0.4048793999202318,0.2660516654731159,-1,-1,0.208504910171042,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,-1,-0.11186311838845775,-0.11470446073596396,-0.11229681411482972,-1,-0.03449787532795612,0.0544683332455046,-1,-1,-0.19505931247720887,-0.12314173820617857,-1,-0.03449787532795612,0.2542061881309756,-1,-1,-0.2764095070399666,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.37904497159887973,0.2959895931973826,0.3978625344003759,-1,0.4422052743358451,0.42516987573366305,-1,-1,0.3099578547049302,0.43723093165305094,-1,0.4422052743358451,0.2855160598003962,-1,-1,0.0757211052357174,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,-1,0.5337819243923478,0.478931653366809,0.5584931797623991,-1,0.23490002684522915,0.29750453567123725,-1,-1,0.489356115854676,0.5040944697262665,-1,0.23490002684522915,0.09496595921752804,-1,-1,0.32996897109587,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,-1,0.5651956916326712,0.49758612781852984,0.4224780858662526,-1,0.3333623065377713,0.3860769076543855,-1,-1,0.8672079508189974,0.6928049794260799,-1,0.3333623065377713,0.18329992511485316,-1,-1,0.6418429086282951,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
