model,3,january,2016,last,updated,at,16:39,gmt,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
yellow,-1,0.15733152745063972,0.15157482532163313,-1,0.0009106443171811307,-1,-1,0.22286563355042321,-1
`,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.2762688681499098,0.26893545824517506,-1,0.14992655803829336,-1,-1,0.15046447157142318,-1
',-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.3001003996996735,0.36890853552041514,-1,0.15016506147237174,-1,-1,0.17296134301828814,-1
warning,-1,0.25252697032043225,0.22921841204518056,-1,0.05991056852671728,-1,-1,0.208504910171042,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1
re-introduced,-1,-0.036735298611994205,-0.06355040451466598,-1,0.03623939699074574,-1,-1,-0.2764095070399666,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.25471520069290854,0.2737038870137499,-1,-0.06643285663134768,-1,-1,0.0757211052357174,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
wales,-1,0.41345158673483173,0.5512715904098425,-1,0.21245060856772302,-1,-1,0.32996897109587,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunday,-1,0.6162648113145918,0.6785531325563023,-1,0.3682693848580938,-1,-1,0.6418429086282951,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
