model,he,was,much,respected,in,the,world,of,drumming,and,his,style,of,reggae,and,ska,was,seen,as,genuinely,ground-breaking,when,the,specials,first,hit,the,charts,in,1979,.
john,-1,-1,0.22803586450573055,0.19852077027237813,-1,-1,0.21031644890629608,-1,-0.21219322985161115,-1,-1,0.13173526459939522,-1,0.036168670838763184,-1,0.05649492675392498,-1,0.2843925279851529,-1,0.16120927329539958,-0.13595616331717086,-1,-1,-0.15057729451573976,-1,0.2892891832417728,-1,0.08724983874427095,-1,0.10553480967352236,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,-0.08200025505379194,0.01844074478486535,-1,-1,0.02369189462794441,-1,-0.010444333536165695,-1,-1,-0.060702090408286,-1,0.05461274913375813,-1,-0.09167301243841619,-1,-0.012050670835958455,-1,-0.002173306707244693,0.00978957143410264,-1,-1,-0.05330743578383168,-1,0.051544098555285744,-1,-0.10232917910917871,-1,0.1408631751800692,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,-0.10168599056660788,0.05766388322397231,-1,-1,-0.10604219261299219,-1,-0.09002870341030955,-1,-1,-0.094148983015377,-1,0.023283125705998442,-1,-0.05571117851438201,-1,-0.029574876281055262,-1,0.1902026613038793,0.04863100559045974,-1,-1,-0.05175784741424927,-1,-0.055813709813957724,-1,-0.2876354657538627,-1,0.05591482794711933,-1
drummer,-1,-1,-0.09806640439929515,0.03549502131376514,-1,-1,0.006742989710371017,-1,0.0796446132607993,-1,-1,0.12822779120783212,-1,0.5025697698864303,-1,-0.044556517452118305,-1,0.0031821292774653065,-1,0.16946332321137092,0.021162596275372203,-1,-1,0.03749973095098835,-1,0.17045571463783982,-1,-0.034987950751467656,-1,0.14475264420720169,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,0.0023567474456095416,0.03416127846242456,-1,-1,0.04710951932339835,-1,0.09989167613745709,-1,-1,0.004979735189926449,-1,0.17423529360483103,-1,0.06758975198317341,-1,0.05044046853315054,-1,-0.08966023440239335,0.3103986724725485,-1,-1,1.0,-1,0.021907431464848637,-1,0.23045513372558302,-1,0.23905378308494063,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.2701643034611705,0.0899096757605986,-1,-1,0.2746718266323137,-1,-0.2100370933786535,-1,-1,0.1173675930099376,-1,-0.06319176150708095,-1,0.007906795327968452,-1,0.4275478904246529,-1,0.18944642122212751,-0.09989153315160837,-1,-1,0.04378569206601346,-1,0.495659271812529,-1,0.06565944271440916,-1,0.36275822041558603,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,0.3300772437199222,0.23394856736255176,-1,-1,0.3059942713951169,-1,0.003172553566763936,-1,-1,0.29960017185553345,-1,0.030121268677538393,-1,-0.0019837546777967674,-1,0.3689576571181685,-1,0.21309474227661573,0.05860621753134365,-1,-1,0.05599018839941339,-1,0.2531006969874796,-1,0.22880225595219406,-1,0.26580601898679435,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,0.22565354671702698,0.08228261376432666,-1,-1,0.21328604105499516,-1,-0.1022593860837282,-1,-1,0.1830598159430078,-1,-0.04892257812886225,-1,-0.014574748609149868,-1,0.2854168589155358,-1,0.052835560494959855,-0.009395686670553571,-1,-1,0.043140908773900644,-1,0.30884301398963765,-1,0.2103236147608325,-1,0.2115358031018454,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
