model,the,band,famed,for,their,1960s,mod-style,outfits,had,seven,uk,top,10,singles,including,too,much,too,young,and,ghost,town,.
john,-1,0.22343110217002904,-0.04438311593031585,-1,-1,0.1505654264644536,-0.5120515514395543,-0.22090776741610063,-1,0.2869801524183053,0.2982372228526524,0.31272461787533645,0.344797909460517,0.2658313136982009,0.36080628455572095,0.25090424219600016,0.22803586450573055,0.25090424219600016,0.4003486722716254,-1,0.04800182319329793,0.3750630157400079,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,0.07898466795260473,0.08201308876952551,-1,-1,0.0639180024097804,-0.1826314924540977,0.03821380895931392,-1,-0.012854500269880775,0.05109993703770832,-0.046552302204348806,-0.017750966972925664,-0.19054767463680622,0.04269178483430203,-0.06921551299825945,-0.08200025505379194,-0.06921551299825945,-0.0033875926257489475,-1,0.19176701782782946,0.1457140247904225,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,0.012625204700374648,0.03431298890070522,-1,-1,0.03240944105780175,-0.08936231320679022,0.13141370113643358,-1,-0.06309845092684396,-0.14732902107711454,-0.1753134708412747,-0.07448515356141194,-0.15468195251393757,-0.07973905488000943,-0.04568833048423682,-0.10168599056660788,-0.04568833048423682,0.029039766826539082,-1,0.06621411630875762,-0.013506145489091459,-1
drummer,-1,0.4259365663927246,0.15186047182788542,-1,-1,0.2928311209328758,-0.14706077814828777,0.19945622833551702,-1,-0.07514662679472961,-0.14010457793884323,0.007550609227428562,-0.09696891308705746,0.03408464109834619,0.05797109018851199,0.07696836970302723,-0.09806640439929515,0.07696836970302723,0.22549278907381143,-1,0.38198239314360416,0.05454093492005119,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,0.155850241837992,-0.07714607308118637,-1,-1,0.30140504421089365,-0.020032281429354537,0.3375852957254917,-1,0.09556618932571004,0.07650283768221444,0.06353423011412496,0.19985600926560132,0.18093490535494572,0.06849672189302536,-0.024850218211267983,0.0023567474456095416,-0.024850218211267983,-0.0970550377473316,-1,0.015842857384420816,-0.16944168786055558,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.3297854528816956,-0.03649988201995602,-1,-1,0.39470736099567694,-0.47688920726918504,0.09465453269731794,-1,0.5752874091446104,0.3138612510153437,0.21909822029020753,0.591217691557636,0.28068838807865304,0.43171780570231744,0.2703927319304452,0.2701643034611705,0.2703927319304452,0.5225095479408706,-1,0.047836444595207195,0.31353618545140105,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.3434242792738026,0.16774388885717784,-1,-1,0.32696144380319714,-0.49229475161223446,0.12077587571682713,-1,0.5472763630799496,0.4140156828690065,0.36061635882159426,0.6635565288306667,0.25617727832621817,0.4428164332293798,0.36279259433609856,0.3300772437199222,0.36279259433609856,0.5947971639629176,-1,0.04195708450992941,0.23229187693434716,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,0.20242953110798534,0.08637609913114308,-1,-1,0.19590590674228658,-0.47028278640714194,-0.03326680722621145,-1,0.48363509245739345,0.2853868937564843,0.32104896258225524,0.5538420888040755,0.29347483574696276,0.3445362988503533,0.20467009851067286,0.22565354671702698,0.20467009851067286,0.30897774923488575,-1,0.004479991952097029,0.3169458223367809,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
