model,'',the,news,comes,three,months,after,the,band,'s,trombonist,rico,rodriguez,died,.
john,-1,-1,0.2893589812723707,0.3607538689949714,0.3177984725539609,0.30174675505205006,-1,-1,0.22343110217002904,-1,-0.45386297906014894,-0.03812442413207129,0.6126754476758474,0.42582920857403206,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,0.014084037827051477,-0.06219672339942117,-0.0006652520630159309,-0.024933381292251866,-1,-1,0.07898466795260473,-1,-0.18725226387167027,0.43900639599721414,0.48936190538796076,0.04518090833969768,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,-0.12487915250932757,-0.1618274098312542,-0.06622232248186499,-0.015042519377912678,-1,-1,0.012625204700374648,-1,-0.07354901276622638,0.26119336321107256,0.42566216657148404,0.22764813321641475,-1
drummer,-1,-1,0.06311480342872489,-0.03886109390335468,-0.030858228937061583,-0.09083694491376137,-1,-1,0.4259365663927246,-1,-0.21433064554061554,0.21446598429656238,0.44369938242310925,0.15857788719366783,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,0.19876775289562487,0.08536085307291441,0.0786372089368731,0.22331170706179926,-1,-1,0.155850241837992,-1,-0.10918315775956833,-0.0724061952569508,-0.2270349042341644,0.04378569206601346,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.2732447790880176,0.3760032840727847,0.5316611407305385,0.602823887602466,-1,-1,0.3297854528816956,-1,-0.567357928931199,-0.019917912249284075,0.21646981506324336,1.0,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,0.17012335577053994,0.33535146773879254,0.4348926695522921,0.5542629109692162,-1,-1,0.3434242792738026,-1,-0.47310578647675916,-0.02577519277413365,-0.027642481444637657,0.49682735888116136,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,0.21191479727866935,0.24104157947061156,0.4107828226273327,0.43188300241290145,-1,-1,0.20242953110798534,-1,-0.4112410406224445,-0.15250577559898537,0.1299855269573268,0.37344894786008687,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
