model,``,he,was,an,integral,part,of,the,specials,reforming,in,2008,and,toured,with,them,extensively,up,to,the,present,day,.
john,-1,-1,-1,-1,0.028224525198966233,0.3136518531086454,-1,-1,-0.15057729451573976,-0.03425425361675494,-1,0.26832712041135354,-1,0.06194376914434119,-1,-1,-0.13217370076529233,-1,-1,-1,0.352151250465882,0.36767570820462114,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,-1,-1,-0.042129664223304,-0.019552300810975476,-1,-1,-0.05330743578383168,-0.0006719897850586687,-1,0.04156460180164179,-1,0.13219321000599804,-1,-1,0.16125230410224067,-1,-1,-1,-0.07082982895760725,-0.09249251670700831,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,-1,-1,0.005469630363271749,-0.10345675644379715,-1,-1,-0.05175784741424927,-0.08126021921627524,-1,-0.03197090265705449,-1,0.046512969830619366,-1,-1,0.2495775845822421,-1,-1,-1,0.032357626556379526,0.003733160341825026,-1
drummer,-1,-1,-1,-1,0.04748580627901544,0.006209002080024395,-1,-1,0.03749973095098835,0.03058810294998593,-1,-0.03411509904149046,-1,0.23015376937319776,-1,-1,0.09790931387492352,-1,-1,-1,-0.022127935886869565,0.013891916681990302,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,-1,-1,-0.0029479533864236185,0.02510171957938201,-1,-1,1.0,0.11158227019610734,-1,0.23965923132574973,-1,0.08540176963563695,-1,-1,0.0547646670240145,-1,-1,-1,0.10089335199291705,0.25758639986873333,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,-1,-1,-0.002655742321629795,0.3448205527627757,-1,-1,0.04378569206601346,-0.10057110604362851,-1,0.5084057062436332,-1,0.1889220734957484,-1,-1,0.15362189316560992,-1,-1,-1,0.38336668341672064,0.5007963609398645,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,-1,-1,0.14041249027667546,0.39792309360155154,-1,-1,0.05599018839941339,0.22293517982371247,-1,0.4029378286617681,-1,0.004871867764600912,-1,-1,-0.04010594610245466,-1,-1,-1,0.496469499456361,0.3744255670397467,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,-1,-1,0.03476532100501839,0.2662741043300514,-1,-1,0.043140908773900644,0.08922815901331416,-1,0.3815088391908046,-1,0.07822820022558097,-1,-1,0.061237094096227906,-1,-1,-1,0.28293574741984284,0.33181435792991976,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
