model,the,ska,group,tweeted,the,news,:,``,it,is,with,deep,regret,that,we,say,goodbye,to,our,great,friend,the,world,'s,greatest,drummer,our,beloved,brad,.
john,-1,0.05649492675392498,-1,0.5311886642434843,-1,0.2893589812723707,-1,-1,-1,-1,-1,0.0407697450229314,0.07581693829372038,-1,-1,-1,0.11029204540777782,-1,-1,0.370968236535963,0.4496861939382699,-1,0.21031644890629608,-1,0.20205807142380494,0.25782884600135003,-1,0.21148528501331076,0.0075735424988002675,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-0.09167301243841619,-1,0.06090082848281475,-1,0.014084037827051477,-1,-1,-1,-1,-1,0.1824574786459494,0.0408609716519337,-1,-1,-1,-0.011714617355073953,-1,-1,-0.15441891104180527,0.0035609029370288203,-1,0.02369189462794441,-1,-0.030810837442815986,0.20145296781983602,-1,-0.12241798463298248,1.0,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-0.05571117851438201,-1,0.1442382308394322,-1,-0.12487915250932757,-1,-1,-1,-1,-1,0.08094232605093721,0.13777413902709457,-1,-1,-1,0.07313289552074487,-1,-1,-0.16036781183074678,0.17748941979226118,-1,-0.10604219261299219,-1,-0.09407608208175078,0.3770327470252426,-1,0.11297449629300527,0.38896649540539097,-1
drummer,-1,-0.044556517452118305,-1,0.21723252754082067,-1,0.06311480342872489,-1,-1,-1,-1,-1,0.011885312913499146,0.020211977109700463,-1,-1,-1,0.17516019140772232,-1,-1,0.08200280778330404,0.4132104424053469,-1,0.006742989710371017,-1,0.12832048835726195,1.0,-1,0.3387368365694611,0.20145296781983602,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,0.06758975198317341,-1,0.11361338714177605,-1,0.19876775289562487,-1,-1,-1,-1,-1,-0.17533610970453317,-0.014234766645019548,-1,-1,-1,0.08434495992559743,-1,-1,0.00627252716713167,-0.09107916237247049,-1,0.04710951932339835,-1,0.007949731772159963,0.03749973095098835,-1,-0.023833896811447763,-0.05330743578383168,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.007906795327968452,-1,0.4664341133151275,-1,0.2732447790880176,-1,-1,-1,-1,-1,0.2536455652438292,0.08491606019357811,-1,-1,-1,0.0805785681746305,-1,-1,0.2871012602355356,0.5126726250260567,-1,0.2746718266323137,-1,0.16535470352589754,0.15857788719366783,-1,0.2577363617276389,0.04518090833969768,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-0.0019837546777967674,-1,0.19082166517182952,-1,0.17012335577053994,-1,-1,-1,-1,-1,0.3407620837295162,0.21629676161955125,-1,-1,-1,0.09304279996824782,-1,-1,0.3094267598838021,0.43867164295022254,-1,0.3059942713951169,-1,0.33662060753621525,0.023527772046206374,-1,0.27030367652853515,0.0161433427430836,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-0.014574748609149868,-1,0.21303687843522834,-1,0.21191479727866935,-1,-1,-1,-1,-1,0.1561310524096171,0.06600609447198524,-1,-1,-1,-0.014345577432127499,-1,-1,0.2882717874805014,0.2291596942816575,-1,0.21328604105499516,-1,0.03304313666632974,-0.07309344695148501,-1,0.0933715620131238,-0.26164708790015667,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
