model,in,a,statement,his,family,said,:,``,it,is,with,deepest,regret,that,we,have,to,announce,the,very,sad,news,that,our,much,loved,husband,and,father,john,`,brad,',bradbury,passed,away,on,monday,the,28,of,december,.
john,-1,-1,0.4839393060652031,-1,0.452995669816036,-1,-1,-1,-1,-1,-1,-0.07617943671028748,0.07581693829372038,-1,-1,-1,-1,0.1907309781061578,-1,-1,0.1958467197438658,0.2893589812723707,-1,-1,0.22803586450573055,0.2320305278887732,0.5227570108135221,-1,0.5833547994558859,1.0,-1,0.0075735424988002675,-1,0.04747425505380942,0.22796333891399823,0.18457882994439556,-1,0.39143575510551165,-1,0.38294646780767905,-1,0.34003046709238427,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,0.05011176027642661,-1,-0.04357906040779658,-1,-1,-1,-1,-1,-1,-0.09675107980632514,0.0408609716519337,-1,-1,-1,-1,0.02003557539194445,-1,-1,-0.04233620968941354,0.014084037827051477,-1,-1,-0.08200025505379194,-0.06763839333217536,0.053539765980718634,-1,0.05250206299767435,0.0075735424988002675,-1,1.0,-1,0.38896649540539097,0.0658009870626518,0.009065542870883347,-1,0.02623258434730491,-1,0.11541023117943472,-1,0.0515982355462441,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,-0.011666115235552832,-1,0.1446114341365904,-1,-1,-1,-1,-1,-1,0.006199566123268441,0.13777413902709457,-1,-1,-1,-1,0.05924449611558047,-1,-1,0.1898370761976339,-0.12487915250932757,-1,-1,-0.10168599056660788,0.1611004010755277,0.3032367278647716,-1,0.28197777332931095,0.04747425505380942,-1,0.38896649540539097,-1,1.0,0.08009899603929937,0.054047375739866954,-1,0.07735210286396177,-1,0.12078725767466858,-1,0.044813069797933536,-1
drummer,-1,-1,0.051215512625296,-1,0.1456368891019163,-1,-1,-1,-1,-1,-1,0.10080197593538909,0.020211977109700463,-1,-1,-1,-1,-0.04115088417757495,-1,-1,0.09515074794069067,0.06311480342872489,-1,-1,-0.09806640439929515,0.27775797867520835,0.36942911550046575,-1,0.35587994143158863,0.25782884600135003,-1,0.20145296781983602,-1,0.3770327470252426,0.030811774227887945,-0.020144702442459694,-1,-0.010590579856812221,-1,-0.0036224177395487445,-1,-0.074785365813959,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,0.13320420654649223,-1,-0.05355682525391181,-1,-1,-1,-1,-1,-1,0.11111958970786884,-0.014234766645019548,-1,-1,-1,-1,0.1873221948614492,-1,-1,0.16025501375854345,0.19876775289562487,-1,-1,0.0023567474456095416,-0.032746586924773835,-0.08865783089295354,-1,-0.1135042727069202,-0.15057729451573976,-1,-0.05330743578383168,-1,-0.05175784741424927,0.08648927956187358,-0.08169743898593596,-1,0.26860663769042303,-1,0.2996047401134754,-1,0.35922809901875385,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
