model,his,contribution,to,the,world,of,music,can,not,be,understated,and,he,will,much,missed,by,family,friends,and,fans,alike,.
john,-1,0.20073249120914105,-1,-1,0.21031644890629608,-1,0.260980134054263,-1,-1,-1,-0.2893002676372718,-1,-1,-1,0.22803586450573055,0.2941494615749096,-1,0.452995669816036,0.35553559846238647,-1,0.29864223657796063,0.09158793551965028,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-0.09882200247806949,-1,-1,0.02369189462794441,-1,0.015164711512889895,-1,-1,-1,-0.022720621051833145,-1,-1,-1,-0.08200025505379194,0.09619952957476807,-1,-0.04357906040779658,-0.031061133105742433,-1,-0.058105991265261725,0.05376591553300336,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-0.19558166807402255,-1,-1,-0.10604219261299219,-1,-0.10198374898980167,-1,-1,-1,0.05762140626584511,-1,-1,-1,-0.10168599056660788,0.13096245919838156,-1,0.1446114341365904,0.07072746704318811,-1,-0.06344781987649584,-0.029735595636753986,-1
drummer,-1,-0.03190144771048664,-1,-1,0.006742989710371017,-1,0.15211163026885666,-1,-1,-1,-0.03313195994189355,-1,-1,-1,-0.09806640439929515,0.14699156747588205,-1,0.1456368891019163,0.2211132128339004,-1,0.10322247313293587,0.1181635424295695,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,0.02654679788671943,-1,-1,0.04710951932339835,-1,0.21564299289773947,-1,-1,-1,0.1254757287191005,-1,-1,-1,0.0023567474456095416,0.16125001819500506,-1,-0.05355682525391181,0.022687073376728373,-1,0.029970505449644524,0.10315300776020098,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.03920728167961551,-1,-1,0.2746718266323137,-1,0.255020933387356,-1,-1,-1,-0.14667391503261884,-1,-1,-1,0.2701643034611705,0.35811820449331067,-1,0.5503515504338287,0.462316737028154,-1,0.36802360286627656,0.118509921449932,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.24176661720938208,-1,-1,0.3059942713951169,-1,0.406173138067214,-1,-1,-1,0.12152988537916809,-1,-1,-1,0.3300772437199222,0.2660366289661005,-1,0.44356824470444023,0.45051940638043286,-1,0.2029817090400241,0.1191156615053377,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,0.14374640882285783,-1,-1,0.21328604105499516,-1,0.23234713994484835,-1,-1,-1,-0.15042054026218366,-1,-1,-1,0.22565354671702698,0.28313248875923547,-1,0.23251521770989136,0.2391894539174244,-1,0.2653907143651488,0.1309975989436849,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
