model,``,brad,'s,drumming,was,the,powerhouse,behind,the,specials,and,it,was,seen,as,a,key,part,to,the,two,tone,sound,.
john,-1,0.0075735424988002675,-1,-0.21219322985161115,-1,-1,0.16348032363481846,0.231602726504734,-1,-0.15057729451573976,-1,-1,-1,0.2843925279851529,-1,-1,0.31295179686978414,0.3136518531086454,-1,-1,0.300060967523023,0.06712670729253489,0.1232162885096405,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,1.0,-1,-0.010444333536165695,-1,-1,0.10706115824205165,0.02264262671062567,-1,-0.05330743578383168,-1,-1,-1,-0.012050670835958455,-1,-1,-0.07338990125575706,-0.019552300810975476,-1,-1,0.012607897714691174,0.017952248665717208,0.016250686952791193,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,0.38896649540539097,-1,-0.09002870341030955,-1,-1,-0.05316610848106973,-0.04858138763045883,-1,-0.05175784741424927,-1,-1,-1,-0.029574876281055262,-1,-1,-0.17911520793682234,-0.10345675644379715,-1,-1,-0.04574826566610124,0.059565210471591135,0.07587798071931007,-1
drummer,-1,0.20145296781983602,-1,0.0796446132607993,-1,-1,0.026205425922514403,0.04517795991611895,-1,0.03749973095098835,-1,-1,-1,0.0031821292774653065,-1,-1,0.005976159297590322,0.006209002080024395,-1,-1,0.038899658639560686,0.10487044767251907,0.07809131859461305,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-0.05330743578383168,-1,0.09989167613745709,-1,-1,-0.0740291094267076,-0.15333387200284254,-1,1.0,-1,-1,-1,0.05044046853315054,-1,-1,0.057273626427704505,0.02510171957938201,-1,-1,0.08345988678686833,0.11069107502874054,0.11458053075777375,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.04518090833969768,-1,-0.2100370933786535,-1,-1,-0.06670233287794791,0.26386290490697917,-1,0.04378569206601346,-1,-1,-1,0.4275478904246529,-1,-1,0.16294775958810603,0.3448205527627757,-1,-1,0.5373587703076649,0.03310098013148821,0.1439358553171407,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.0161433427430836,-1,0.003172553566763936,-1,-1,-0.008014597117204536,0.31988084221455004,-1,0.05599018839941339,-1,-1,-1,0.3689576571181685,-1,-1,0.26770876365092033,0.39792309360155154,-1,-1,0.40179721851612205,0.1202027923400506,0.37263757063422664,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-0.26164708790015667,-1,-0.1022593860837282,-1,-1,0.038716539533676486,0.2519885398768611,-1,0.043140908773900644,-1,-1,-1,0.2854168589155358,-1,-1,0.20667048533714305,0.2662741043300514,-1,-1,0.39395345097987844,0.16398232596045514,0.18998322172788673,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
