model,founder,and,songwriter,jerry,dammers,dissolved,the,band,in,1981,but,they,re-grouped,and,continue,to,perform,and,record,without,their,former,leading,man,.
john,0.3709775356224776,-1,0.08199502430861572,0.4350487006368895,-0.3660891994497153,0.05602457455635279,-1,0.22343110217002904,-1,0.052309368562042824,-1,-1,-0.4595515056684818,-1,0.16756893129980888,-1,0.1085523927632509,-1,0.24454201038137768,0.2038254980274239,-1,0.6603826871365174,0.33273026175987386,0.3330943999271263,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,0.23894071753582946,-1,0.1796296214816191,0.23408598690413662,-0.21282590734671225,0.0734264336905901,-1,0.07898466795260473,-1,0.1427290280143566,-1,-1,-0.1675426830121205,-1,0.024913056006325984,-1,0.06285626705606806,-1,-0.09198534258324376,-0.021269710409932863,-1,0.09182093962935,-0.03820131767975732,-0.022010127676884705,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,0.13712365272126736,-1,0.11576685534859399,0.39855584386007936,-0.1211621216260248,0.21661371278748676,-1,0.012625204700374648,-1,0.125970697076221,-1,-1,-0.1496196926042752,-1,-0.05691074962610765,-1,0.15902174875971642,-1,-0.2900807108291601,-0.12256141255062047,-1,-0.12718500862105064,-0.1451474372134527,0.11656913056365537,-1
drummer,0.3682568280466181,-1,0.41003538500518966,0.5614399448896634,-0.22149627592678112,0.047643437647462705,-1,0.4259365663927246,-1,0.14669453222761375,-1,-1,-0.22792412819718977,-1,-0.1691791776280569,-1,0.07254414053697156,-1,-0.048725438017763745,-0.13059337108294722,-1,0.2723424456868492,0.0756268445071806,0.22779847950933663,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-0.008603518717327896,-1,0.08812800323208847,-0.1519000721069641,-0.08555861907604245,0.19776001402299936,-1,0.155850241837992,-1,0.003330424004525878,-1,-1,-0.029320692500179435,-1,0.05891232443229155,-1,0.06067693142567543,-1,0.09542590599019862,0.0282020398482401,-1,-0.14536493884680124,0.0952501865625206,-0.13206544757166871,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,0.14944958985779033,-1,0.15874978340210877,0.08990091758157748,-0.46745244344977355,0.12965887453939196,-1,0.3297854528816956,-1,0.17812873209128133,-1,-1,-0.5295594110376407,-1,0.23747001303850168,-1,0.2645813453541941,-1,0.27841950512136404,0.3517861546488723,-1,0.4250707980018422,0.31044484904805647,0.622687498426653,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,0.2834176087863609,-1,0.07665277271772819,-0.03932406226900165,-0.4641598215788021,0.09993547009589854,-1,0.3434242792738026,-1,0.12888595007554615,-1,-1,-0.37063625913277654,-1,0.35829155963708514,-1,0.3760689446797252,-1,0.45014125172477293,0.41299123767257595,-1,0.3039952661786778,0.28585532895172727,0.3722073580995424,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0.12385009876312258,-1,0.06860378349955831,0.18797646689823022,-0.39449125991306566,0.16395562387020512,-1,0.20242953110798534,-1,0.132872573418233,-1,-1,-0.3647179997477399,-1,0.2330426881983254,-1,0.10668884107512511,-1,0.3510459541995725,0.2589254750157103,-1,0.28301909421793203,0.2404303465310016,0.27186407563939885,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
