model,bradbury,took,part,in,the,specials,reunion,tour,in,2009,.
john,0.04747425505380942,0.3910965167949412,0.3136518531086454,-1,-1,-0.15057729451573976,0.04107053094381374,0.20211958983074418,-1,0.32608344809127154,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,0.38896649540539097,-0.03790168911561986,-0.019552300810975476,-1,-1,-0.05330743578383168,-0.20775891773161614,-0.014125050196398092,-1,0.05318948972273707,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,1.0,0.018907169625802522,-0.10345675644379715,-1,-1,-0.05175784741424927,0.08484714075860311,-0.10451955347862318,-1,-0.031128479719283897,-1
drummer,0.3770327470252426,0.04401323392515044,0.006209002080024395,-1,-1,0.03749973095098835,0.20235077129052348,0.06290401854857341,-1,0.019933483035652455,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-0.05175784741424927,-0.03567789106559194,0.02510171957938201,-1,-1,1.0,0.3290947081932676,0.2515568551482916,-1,0.17742337492723026,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,0.22764813321641475,0.4905112484308407,0.3448205527627757,-1,-1,0.04378569206601346,0.24070131345550339,0.2840859424335145,-1,0.5371765340338809,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,0.002626878573480762,0.3123873860742601,0.39792309360155154,-1,-1,0.05599018839941339,0.16527843936229614,0.24993886042453606,-1,0.4186307103275114,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0.0014901815432293297,0.2962971558136769,0.2662741043300514,-1,-1,0.043140908773900644,0.20567338212624364,0.19836855585604773,-1,0.3970385015394404,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
