model,``,it,is,the,family,'s,sincerest,wish,that,they,are,allowed,the,time,to,remember,him,privately,.
john,-1,-1,-1,-1,0.452995669816036,-1,-0.2999248809907451,0.2554824230382555,-1,-1,-1,0.25091813435482724,-1,-1,-1,0.3167070215862232,-1,-0.06636471170959601,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,-1,-1,-0.04357906040779658,-1,-0.1681061386198397,-0.01490918993239676,-1,-1,-1,0.021476498306751357,-1,-1,-1,-0.051733806182181485,-1,0.09635168556955909,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,-1,-1,0.1446114341365904,-1,-0.15398983823664825,0.11505680917839411,-1,-1,-1,0.06057715106300743,-1,-1,-1,0.20457936529749765,-1,0.17626056502908094,-1
drummer,-1,-1,-1,-1,0.1456368891019163,-1,-0.026754031834494763,0.13585055555052028,-1,-1,-1,-0.026852922427138548,-1,-1,-1,0.11585055723685944,-1,0.008156759281073178,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,-1,-1,-0.05355682525391181,-1,0.18179129717721687,0.06976585469408392,-1,-1,-1,-0.06481549127438724,-1,-1,-1,0.025540743040356806,-1,0.0617654845594956,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,-1,-1,0.5503515504338287,-1,-0.31082028184630106,0.25913789934933806,-1,-1,-1,0.29084221267925625,-1,-1,-1,0.4473305173108132,-1,0.07770879433352573,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,-1,-1,0.44356824470444023,-1,0.03173657191056978,0.38343272969801145,-1,-1,-1,0.38560692430545895,-1,-1,-1,0.45111245756775264,-1,0.16518973030000905,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,-1,-1,0.23251521770989136,-1,-0.304395782674155,0.1694040499558428,-1,-1,-1,0.24528833657448346,-1,-1,-1,0.22386339936635902,-1,0.18193177448396436,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
