model,germany,was,shocked,by,the,new,year,assaults,largely,blamed,on,migrants,.
cologne,0.4099012710206512,-1,0.242369983929977,-1,-1,-1,0.23440181142080763,0.437750615328925,0.04862001771478153,0.3016708876579758,-1,0.3129918461058532,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.17796470982072998,-1,-0.08094466216344154,-1,-1,-1,-0.013559823938384508,-0.10334221271255761,0.20657220764444162,0.03887327659562467,-1,-0.06991421530058628,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.2500362231223876,-1,0.26368869672902473,-1,-1,-1,0.3380483330150289,0.274896888516146,0.24375390493986993,0.4876274246571992,-1,0.1813294610828282,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.5315081862890454,-1,0.339200028905845,-1,-1,-1,0.46777863179315693,0.1458413713772614,0.27177008285833226,0.2787678811482477,-1,0.32271383782015506,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.2156155277638988,-1,0.06763193471077134,-1,-1,-1,0.6410837983180415,0.1928178476320549,0.21613531208788306,0.2386313872811795,-1,0.09917499495976634,-1
carnival,0.13494118992109638,-1,0.24224616000847687,-1,-1,-1,0.28522167081114125,-0.028972935870177352,0.13626951286452527,0.0564791338385946,-1,0.08400420718092794,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.5744799118090362,-1,0.3286085205990359,-1,-1,-1,0.6036041139679529,0.4907225963544122,0.2635259264356099,0.3501560066314525,-1,0.4040844890198161,-1
suffered,0.35039295339003473,-1,0.2857718830358079,-1,-1,-1,0.3583978832800766,0.43389856519477976,0.24764620685038086,0.4121953048212368,-1,0.1861123169100548,-1
sexual,0.16588819200842297,-1,0.16396643942686828,-1,-1,-1,0.2563836676391221,0.784711356510159,0.0792217729505974,0.2853479602726525,-1,0.1380883832355927,-1
assaults,0.14158863017553802,-1,0.15006431719489233,-1,-1,-1,0.2646912813699136,1.0,0.11707512649325735,0.31731993822543547,-1,0.1015742121384483,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.09941068700456579,-1,0.05707123862882235,-1,-1,-1,0.08024595660525735,0.604066473442937,0.08723852753895411,0.2414340803522912,-1,0.18905454532101085,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.5174376353559563,-1,0.322528534429145,-1,-1,-1,1.0,0.2646912813699136,0.3468803855892637,0.3713563675211491,-1,0.3864433408089769,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.16968991638742814,-1,0.2206754156687305,-1,-1,-1,0.5661810285144305,0.17489394412237758,0.15303356691308834,0.19108946044797048,-1,0.15793859540229604,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
