model,but,in,total,there,were,945,complaints,to,cologne,police,after,the,new,year,trouble,559,of,them,allegations,of,sexual,assault,.
cologne,-1,-1,0.1079060498092066,-1,-1,-0.07153120543443059,0.18782492953453644,-1,1.0,0.39542195664672874,-1,-1,-1,0.23440181142080763,0.17368577400526453,-0.15822104003005655,-1,-1,0.3502265664405302,-1,0.29554527570212374,0.39008670702628057,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,0.023555646316145484,-1,-1,0.0825734639270862,-0.0750929425342608,-1,-0.10510342759846325,-0.008107414156212522,-1,-1,-1,-0.013559823938384508,0.053406585817351804,-0.05803653343228432,-1,-1,-0.06139409144082841,-1,-0.16074301088850484,-0.18119260970524032,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,0.38774540780194133,-1,-1,-0.294562122689098,0.43944746417861635,-1,0.2336628438422692,0.565747708328155,-1,-1,-1,0.3380483330150289,0.3057416652639571,-0.4424084335716658,-1,-1,0.47098128475385337,-1,0.3298169199227794,0.32545074257689866,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,0.4084092859002031,-1,-1,-0.3358674331960674,0.21113272427322027,-1,0.3935120495638653,0.35463512964880806,-1,-1,-1,0.46777863179315693,0.31436142096767505,-0.2018296728236062,-1,-1,0.24457870473841636,-1,0.1659374281250574,0.31332003722007495,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,0.6321656418836071,-1,-1,-0.16438175164297109,0.2692847895972239,-1,0.07368579934060271,0.16838560215376108,-1,-1,-1,0.6410837983180415,0.10292809091538602,-0.33259200093726426,-1,-1,0.16518240773629034,-1,0.1869114519870282,0.18045274363681685,-1
carnival,-1,-1,0.08599796181196628,-1,-1,-0.32703602865213743,-0.14365326517495314,-1,0.33831618514538575,0.03100759706397882,-1,-1,-1,0.28522167081114125,0.14843645611491585,-0.1935497619540616,-1,-1,-0.06250158910158121,-1,-0.15701264799792636,0.034112321436621906,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,0.5548307915616391,-1,-1,-0.24778013880168714,0.3486506610606197,-1,0.29214655321204697,0.36671998271613515,-1,-1,-1,0.6036041139679529,0.3456108184123854,-0.09713657249952146,-1,-1,0.43442888633946,-1,0.5367988936322846,0.43148228762443475,-1
suffered,-1,-1,0.3714099368318071,-1,-1,-0.2838416787626985,0.23921258605854567,-1,0.13935725715949876,0.24241822431668236,-1,-1,-1,0.3583978832800766,0.455458106412177,-0.08174331398051704,-1,-1,0.362079728832581,-1,0.42303381371212656,0.47323454340872984,-1
sexual,-1,-1,0.36627820240298814,-1,-1,-0.07843696926919708,0.37557484384270057,-1,0.29554527570212374,0.29269184608122656,-1,-1,-1,0.2563836676391221,0.37773234932914734,-0.167050394781858,-1,-1,0.6435550194109398,-1,1.0,0.7824789994720639,-1
assaults,-1,-1,0.3791428134479238,-1,-1,0.05087114191420883,0.31645154906885486,-1,0.437750615328925,0.23469970564458265,-1,-1,-1,0.2646912813699136,0.35702801845991017,-0.014224080142779538,-1,-1,0.5993391960184131,-1,0.784711356510159,0.8024392835902491,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,0.23234930755477923,-1,-1,0.04081541391351495,0.15469391490217943,-1,0.5296884909389946,0.2542091580806858,-1,-1,-1,0.08024595660525735,0.20498493900575399,-0.028965625468524214,-1,-1,0.3299570103397603,-1,0.40622120983913335,0.4823056496681206,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,0.7343839497475101,-1,-1,-0.30442686569163824,0.33335315115136943,-1,0.23440181142080763,0.31681076309024725,-1,-1,-1,1.0,0.30997159247345707,-0.20856567417406113,-1,-1,0.3518631350883068,-1,0.2563836676391221,0.27931598469081376,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,0.2954912340694318,-1,-1,-0.1327368372631621,0.10655681455566957,-1,0.4128980076775275,0.02631360543269423,-1,-1,-1,0.5661810285144305,0.06924499562407793,-0.13923516326231722,-1,-1,0.16051576829852043,-1,0.05823662070189661,0.13005963977563684,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
