model,separately,police,have,arrested,three,suspected,islamist,militants,in,raids,.
cologne,0.34233628658246773,0.39542195664672874,-1,0.445262552734374,0.21627643623612713,0.3929194538224229,0.34793325356033233,0.39254959283396884,-1,0.6054966718993637,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,0.08493999243002881,-0.008107414156212522,-1,-0.053017979297038,-0.08965390542887386,-0.047057411671310945,-0.025228856138378886,-0.004378510329596796,-1,0.003921556949198379,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.3647317027065864,0.565747708328155,-1,0.3590045288858592,0.3795365912421381,0.3905217832060629,0.32466601389558847,0.38544472153220033,-1,0.35417399574875497,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.31983164204104453,0.35463512964880806,-1,0.39439755116113084,0.428288652926647,0.22149957211194105,0.28101685368875917,0.39880008364044905,-1,0.18262131084970668,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.18024373492621426,0.16838560215376108,-1,0.11201752273154308,0.2711546853809098,0.05414601049927914,0.13268925643174023,0.1750378702466453,-1,0.17471687654469026,-1
carnival,0.1852986729628172,0.03100759706397882,-1,0.09591971154702972,-0.01391266447455175,-0.009136906648753662,0.1787780787616522,0.21405849704846258,-1,0.18969872626028805,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.4122111831094275,0.36671998271613515,-1,0.4772786648315255,0.6508576149597329,0.4705676879609003,0.3423877201838652,0.4135768479813007,-1,0.25070474009532484,-1
suffered,0.28507191298553725,0.24241822431668236,-1,0.37374715491524846,0.4222572432436752,0.4825981210613033,0.22376437744621014,0.1931426318243109,-1,0.2296320433248482,-1
sexual,0.24893082074961992,0.29269184608122656,-1,0.37055614501584233,0.37555995108822227,0.5198781989605954,0.23787475108420597,0.20016268102802415,-1,0.26657495949894494,-1
assaults,0.3064326253653826,0.23469970564458265,-1,0.42036488610895084,0.47857741516813335,0.4910710504330513,0.30375249926570014,0.26908033846894863,-1,0.5349329808194079,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.306642824744233,0.2542091580806858,-1,0.4305705153018039,0.35423863979067505,0.4587535595709662,0.2750914494841703,0.2707718035853691,-1,0.570100429607325,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.422432027476219,0.31681076309024725,-1,0.45607162536200585,0.6107299583657635,0.2945491537811423,0.19904486912793984,0.3286285587094977,-1,0.2546727637756139,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.23098238738289179,0.02631360543269423,-1,0.247707085706234,0.1747011216752773,0.10257379980478998,0.06617822152229091,0.14155491036185053,-1,0.3065938147768994,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
