model,'',organisers,have,not,said,how,many,people,have,attended,this,year,'s,carnival,but,correspondents,say,the,numbers,are,much,lower,than,in,previous,years,.
cologne,-1,0.32519946341320716,-1,-1,-1,0.06280492229085954,-1,0.2451027555524956,-1,0.29622121733004203,-1,0.23440181142080763,-1,0.33831618514538575,-1,0.1948454280523788,-1,-1,0.10802694063788976,-1,-0.06875372481504227,0.049871521986502576,-1,-1,0.1672886501222376,0.122976008278884,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-0.13084296496728776,-1,-1,-1,-0.16010347572745354,-1,-0.07196835816447011,-1,-0.0718465180358967,-1,-0.013559823938384508,-1,0.03957657859172459,-1,-0.26516778492061244,-1,-1,0.10058543959731958,-1,-0.020951612739816605,0.14823077935413487,-1,-1,-0.0326733664594232,-0.0304533530652642,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,0.21217532299526876,-1,-1,-1,0.37913098230002373,-1,0.3777509811583706,-1,0.3003232971203351,-1,0.3380483330150289,-1,-0.021252270904129844,-1,0.3304491113260254,-1,-1,0.38406985018529083,-1,0.3358559402951109,0.2971153276231119,-1,-1,0.32734552518409554,0.35201583225624655,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,0.2968656781201333,-1,-1,-1,0.3542365672616493,-1,0.4137391355904394,-1,0.2971934727860792,-1,0.46777863179315693,-1,0.23665521845235882,-1,0.23089254547790516,-1,-1,0.255307870994673,-1,0.37344915021912994,0.32547097079218257,-1,-1,0.3044037638301518,0.37521474820292133,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,0.4387562622326543,-1,-1,-1,0.2145091758737927,-1,0.23152376772607708,-1,0.34515745528320907,-1,0.6410837983180415,-1,0.3506385243362773,-1,0.15917522367461645,-1,-1,0.39156060780203394,-1,0.32144967834334337,0.5109656174282058,-1,-1,0.4360270183793584,0.3160317485178825,-1
carnival,-1,0.3747333130384677,-1,-1,-1,0.031469988584800435,-1,0.0733582386750552,-1,0.21542518498451646,-1,0.28522167081114125,-1,1.0,-1,0.1354834421180514,-1,-1,0.04079273832871355,-1,0.12814991613137483,0.1854479979101834,-1,-1,-0.005105817195121043,0.05106616013542098,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,0.3618990254399994,-1,-1,-1,0.4870453472951043,-1,0.71237610487547,-1,0.4447554140758473,-1,0.6036041139679529,-1,-0.06401768094057103,-1,0.17992938918875068,-1,-1,0.39232445079283607,-1,0.44557905802272524,0.3180951357095485,-1,-1,0.4331103986261191,0.576437256860075,-1
suffered,-1,0.16161678991868533,-1,-1,-1,0.18037588731473797,-1,0.30175633374462607,-1,0.26621821250728495,-1,0.3583978832800766,-1,-0.08116575680533678,-1,0.041059922650145575,-1,-1,0.2880303014155259,-1,0.23355511715901023,0.2655091724915112,-1,-1,0.39568295510241835,0.364260459200354,-1
sexual,-1,0.08435098812176234,-1,-1,-1,0.25995454246138294,-1,0.3506377136225094,-1,0.24551819530080987,-1,0.2563836676391221,-1,-0.15701264799792636,-1,0.015168087968255528,-1,-1,0.18974740002588408,-1,0.1443814595418491,0.10459556487461719,-1,-1,0.33424361924927215,0.31087344631242664,-1
assaults,-1,0.16476356380478818,-1,-1,-1,0.18597174361276125,-1,0.28731929586362837,-1,0.26689365802168374,-1,0.2646912813699136,-1,-0.028972935870177352,-1,-0.03362336576627145,-1,-1,0.1839638437438177,-1,0.07158413503583994,0.09289953265069895,-1,-1,0.3975678194624921,0.3091657624606374,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,0.16971642399096243,-1,-1,-1,-0.04863513985328716,-1,0.07097219117145648,-1,0.2399716698313199,-1,0.08024595660525735,-1,0.08490067720192673,-1,0.0016468653738820338,-1,-1,0.19138570551667966,-1,-0.12781053798199404,0.06747484139999371,-1,-1,0.1655416364594745,0.17134931983182444,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.4597600071274546,-1,-1,-1,0.42958733929357495,-1,0.5359879052284826,-1,0.3866893712747854,-1,1.0,-1,0.28522167081114125,-1,0.1911873150410086,-1,-1,0.482876051905883,-1,0.5034747652437418,0.5239122949306786,-1,-1,0.648661333909011,0.7144204520776272,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.35900763114794043,-1,-1,-1,0.16865549216173115,-1,0.22640051199453282,-1,0.2584390194071533,-1,0.5661810285144305,-1,0.4377983924370761,-1,0.12062307528481986,-1,-1,0.17838076812703219,-1,0.1795834988768774,0.16165885005913172,-1,-1,0.3279170987175576,0.3266351088762022,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
