model,thirty-five,suspects,are,being,investigated,.
cologne,-0.05457673646112138,0.4253584145406768,-1,-1,0.22082449222253464,-1
has,-1,-1,-1,-1,-1,-1
beefed,0.07200966376189177,-0.06642809761277468,-1,-1,0.07478424852424681,-1
up,-1,-1,-1,-1,-1,-1
security,-0.20081241388967408,0.44064089757972114,-1,-1,0.43447214390082833,-1
for,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
city,-0.20191383450960787,0.28767714725649896,-1,-1,0.23642985991582122,-1
's,-1,-1,-1,-1,-1,-1
annual,-0.24950036364655115,0.0404099932725277,-1,-1,0.1418050579246245,-1
carnival,-0.19738832322337974,0.0006409555877527895,-1,-1,-0.01513404064834245,-1
after,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1
women,0.022523133611274226,0.5675571671668265,-1,-1,0.38559874379202075,-1
suffered,-0.06626817982603961,0.37916398190910394,-1,-1,0.22839429090423513,-1
sexual,-0.09806663346376254,0.44708178652303143,-1,-1,0.3658631217759052,-1
assaults,0.034723104571403485,0.5473083126655303,-1,-1,0.3263848118175591,-1
and,-1,-1,-1,-1,-1,-1
robberies,0.14676927683991103,0.559671751914326,-1,-1,0.27064817036126365,-1
there,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1
year,-0.12558176928342135,0.34649815952949947,-1,-1,0.34047497867079,-1
's,-1,-1,-1,-1,-1,-1
eve,-0.13025399355530465,0.0802947557991951,-1,-1,0.07400687668594852,-1
.,-1,-1,-1,-1,-1,-1
