model,one,of,those,held,was,being,sought,by,algerian,authorities,and,they,may,have,been,planning,an,attack,in,germany,police,said,.
cologne,0.18111389710085146,-1,0.16612037558156834,0.23355836488116344,-1,-1,0.09581169246162236,-1,0.24367544138581199,0.29344633593810043,-1,-1,-1,-1,-1,0.16410739323480694,-1,0.44151905891862864,-1,0.4099012710206512,0.39542195664672874,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.10616109159936826,-1,-0.024637294871868054,0.17308212209727158,-1,-1,0.08431561824275402,-1,-0.0195431567294424,-0.01697633667849363,-1,-1,-1,-1,-1,-0.05281892305218516,-1,-0.16412285397844117,-1,-0.17796470982072998,-0.008107414156212522,-1,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.34730306421750035,-1,0.4408378995011729,0.4118150495041275,-1,-1,0.4273817260869356,-1,0.20165674930447586,0.6778549965097148,-1,-1,-1,-1,-1,0.500795397853726,-1,0.48269585273939253,-1,0.2500362231223876,0.565747708328155,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.4442700372207139,-1,0.33591717247848885,0.44799334283227377,-1,-1,0.24130431057393986,-1,0.15096471458079497,0.4298557663565883,-1,-1,-1,-1,-1,0.37644954490297644,-1,0.41981136507443817,-1,0.5315081862890454,0.35463512964880806,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.28966189870798287,-1,0.2360400499405575,0.41705456425848086,-1,-1,0.11529917167394355,-1,0.04319651507081612,0.24390118330653743,-1,-1,-1,-1,-1,0.3177087363954507,-1,0.1471450762417048,-1,0.2156155277638988,0.16838560215376108,-1,-1
carnival,0.10560123420518819,-1,-0.07479777441179425,0.23933968522371063,-1,-1,-0.03180301754245485,-1,0.24018864124270234,-0.016491660974423006,-1,-1,-1,-1,-1,0.07777158991908617,-1,0.08223968422847627,-1,0.13494118992109638,0.03100759706397882,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.5396313367473545,-1,0.6585781332741226,0.4368618990635409,-1,-1,0.38613687951110354,-1,0.24816592332706,0.5228964013826197,-1,-1,-1,-1,-1,0.301929567187458,-1,0.3473766528804032,-1,0.5744799118090362,0.36671998271613515,-1,-1
suffered,0.41217598775573316,-1,0.3085726871672665,0.24356001358318868,-1,-1,0.2546671963973701,-1,0.020191038784528437,0.17611421258459625,-1,-1,-1,-1,-1,0.1661291173621644,-1,0.40404414635010033,-1,0.35039295339003473,0.24241822431668236,-1,-1
sexual,0.33398199383053107,-1,0.3380623210426803,0.22945123482881502,-1,-1,0.14402137782479152,-1,0.09284778019222106,0.292068816939302,-1,-1,-1,-1,-1,0.23216400861932351,-1,0.34460810709548895,-1,0.16588819200842297,0.29269184608122656,-1,-1
assaults,0.3205932867090676,-1,0.3311545867681561,0.2934479271286048,-1,-1,0.0481753749022209,-1,0.062129998941287345,0.19107827628533225,-1,-1,-1,-1,-1,0.14085697817787102,-1,0.40761705330141695,-1,0.14158863017553802,0.23469970564458265,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.13978620055164548,-1,0.13685186241417646,0.2612422338954603,-1,-1,0.007121519861521763,-1,0.24836989005207,0.17392471645051766,-1,-1,-1,-1,-1,0.09996140747391946,-1,0.26644370210999224,-1,0.09941068700456579,0.2542091580806858,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.5732579022159809,-1,0.527227041851109,0.5176211513831978,-1,-1,0.35054659126313226,-1,0.12408264223844778,0.432067862097421,-1,-1,-1,-1,-1,0.4145294222892395,-1,0.323835777310271,-1,0.5174376353559563,0.31681076309024725,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.2108620449902141,-1,0.1522399362638216,0.2069057404840816,-1,-1,0.0741423097901387,-1,0.024727721342650333,0.024335597722391134,-1,-1,-1,-1,-1,0.21911214474262475,-1,0.22891306168611014,-1,0.16968991638742814,0.02631360543269423,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
