model,the,raids,on,flats,and,offices,took,place,on,thursday,in,berlin,lower,saxony,and,north,rhine-westphalia,.
cologne,-1,0.6054966718993637,-1,0.3791131324088065,-1,0.36654793110670014,0.17969420812935055,0.21746261876137818,-1,0.3630266508762263,-1,0.33258697487816824,0.049871521986502576,0.1283752545511827,-1,0.3890956234699299,0.3110409787067492,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,0.003921556949198379,-1,0.03386665711445769,-1,0.02101039072766764,-0.108890071078386,-0.10815608720888958,-1,-0.1634628858607492,-1,-0.0889396091892638,0.14823077935413487,0.06532357840395375,-1,-0.09086789602649592,-0.08582472379841044,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,0.35417399574875497,-1,0.1745829708017821,-1,0.4029615246763275,0.4243094436518231,0.37249738963241874,-1,0.445187213665708,-1,0.1576743279907501,0.2971153276231119,0.08466666195248451,-1,0.4257285922618781,0.00968934719166259,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,0.18262131084970668,-1,0.33736739253175907,-1,0.4600118026150196,0.4559360641615797,0.4656435443961604,-1,0.5233174222176913,-1,0.3006289828927813,0.32547097079218257,0.07093226591622481,-1,0.6090786361652604,0.28707569067143335,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,0.17471687654469026,-1,0.15765824830932507,-1,0.37014009721763297,0.26623111793549803,0.3372337291569715,-1,0.526458424414815,-1,0.16058024814745353,0.5109656174282058,0.2847472528771384,-1,0.21964335774078902,-0.10135320635159872,-1
carnival,-1,0.18969872626028805,-1,0.3325597113910157,-1,0.2691485952985191,0.05549411985036479,0.20269577905402225,-1,0.2143186279676721,-1,0.18150196160349807,0.1854479979101834,0.15393313612962445,-1,0.19466099006039483,0.18441433189699485,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,0.25070474009532484,-1,0.1546873529850108,-1,0.22146173196410435,0.4803901642733035,0.47258522688307225,-1,0.45407332585071736,-1,0.18393175369199388,0.3180951357095485,-0.12226772565577071,-1,0.378992505010614,-0.1773751005486668,-1
suffered,-1,0.2296320433248482,-1,0.12123901468855713,-1,0.05234465260768717,0.3203081130928561,0.22991889716859926,-1,0.33893528769353476,-1,0.26603585302996624,0.2655091724915112,-0.12946532626651974,-1,0.29551163508721,-0.11000443724917375,-1
sexual,-1,0.26657495949894494,-1,0.08464775325998397,-1,0.1192131759594981,0.2778210354901698,0.28325695013297614,-1,0.29290144301746435,-1,0.18914614882781944,0.10459556487461719,-0.1355373196040408,-1,0.10444575200090522,-0.25873633920653827,-1
assaults,-1,0.5349329808194079,-1,0.1177120193235286,-1,0.16963344370802913,0.36473522259984315,0.3460748668167011,-1,0.3509546175986402,-1,0.17230467943848038,0.09289953265069895,-0.17771635462237478,-1,0.05345528378855702,-0.28983956410404366,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,0.570100429607325,-1,0.32762177406970794,-1,0.23375419887621218,0.16732520117913297,0.18952069516981407,-1,0.16878678643786305,-1,0.07282816423790972,0.06747484139999371,0.0923882753445956,-1,0.12412293914365158,0.05435837477498784,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.2546727637756139,-1,0.2219947638062767,-1,0.3263774167960709,0.4613756882294062,0.5020602121595958,-1,0.6246025723731886,-1,0.27629690836228515,0.5239122949306786,0.08734577020717882,-1,0.4341004992489461,-0.1306981761337478,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.3065938147768994,-1,0.29075002008623874,-1,0.30756956180952777,0.20504779479792234,0.18847538786375784,-1,0.4163619531136957,-1,0.2534043078450703,0.16165885005913172,-0.026592998714396243,-1,0.1131794533479662,-0.08368667278860609,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
