model,cologne,resident,miriam,was,attacked,as,she,and,a,friend,made,her,way,home,on,new,year,'s,eve,.
cologne,1.0,0.1612597232333277,-0.03425872499467508,-1,0.36329613193541477,-1,-1,-1,-1,-0.023237614189679512,-1,-1,0.06185184068262817,0.09338894631467898,-1,-1,0.23440181142080763,-1,0.4128980076775275,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.10510342759846325,-0.1180873628290402,-0.03951623211312261,-1,0.06267597160577942,-1,-1,-1,-1,-0.11929537113627031,-1,-1,-0.041274430888173175,-0.06797612888649018,-1,-1,-0.013559823938384508,-1,-0.08499141442411018,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.2336628438422692,0.29000523189255967,-0.3075705397324744,-1,0.39350029125223085,-1,-1,-1,-1,0.21940910148065007,-1,-1,0.41137925488705696,0.3018007410959077,-1,-1,0.3380483330150289,-1,0.019200480911571116,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.3935120495638653,0.2804090036988949,-0.2662904811880331,-1,0.41729975508944706,-1,-1,-1,-1,0.3016685938696715,-1,-1,0.41739217185758615,0.4654331086015494,-1,-1,0.46777863179315693,-1,0.2162515292783629,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.07368579934060271,0.17269689311677994,-0.23775220606662373,-1,0.08376080817263687,-1,-1,-1,-1,0.13269960358687816,-1,-1,0.17772109573560668,0.23777883972831293,-1,-1,0.6410837983180415,-1,0.3538779189822969,-1
carnival,0.33831618514538575,0.1677189910034559,-0.035818213720955505,-1,0.09215457754296097,-1,-1,-1,-1,0.02115920788505732,-1,-1,0.1102386719101861,0.12964452343536947,-1,-1,0.28522167081114125,-1,0.4377983924370761,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.29214655321204697,0.29130917750616137,-0.11783911956802307,-1,0.4802384053205365,-1,-1,-1,-1,0.34593310211221207,-1,-1,0.47831557160687144,0.38700234228815145,-1,-1,0.6036041139679529,-1,0.154067801631513,-1
suffered,0.13935725715949876,0.22129100916915778,0.03802758099968484,-1,0.39650502625009676,-1,-1,-1,-1,0.33125322608145424,-1,-1,0.23885857408136202,0.346601657721491,-1,-1,0.3583978832800766,-1,0.08289902391405235,-1
sexual,0.29554527570212374,0.1372218591822626,-0.04179876188118725,-1,0.308035059029531,-1,-1,-1,-1,0.23979360741406042,-1,-1,0.32453934107671134,0.20907256866797086,-1,-1,0.2563836676391221,-1,0.05823662070189661,-1
assaults,0.437750615328925,0.061486890990081755,-0.04706022215300809,-1,0.33487751047481185,-1,-1,-1,-1,0.08360705787165534,-1,-1,0.19565130864753433,0.16086819717228096,-1,-1,0.2646912813699136,-1,0.17489394412237758,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.5296884909389946,0.143253615062234,-0.049948268417856934,-1,0.3329962769803314,-1,-1,-1,-1,-0.07310886370324843,-1,-1,-0.039988390160226706,-0.03867716612401839,-1,-1,0.08024595660525735,-1,0.12449630087897823,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.23440181142080763,0.24123807560769572,-0.23757331201434817,-1,0.3346288643832078,-1,-1,-1,-1,0.3155914351979332,-1,-1,0.46375101009821074,0.3873082205400096,-1,-1,1.0,-1,0.5661810285144305,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.4128980076775275,0.026174592450968426,0.02987811823326325,-1,0.15134504053558873,-1,-1,-1,-1,0.21115208549186615,-1,-1,0.12355780642984171,0.12154129752277298,-1,-1,0.5661810285144305,-1,1.0,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
