model,cologne,sex,attacks,:,women,describe,`,terrible,',assaults,.
cologne,1.0,0.28797369313507803,0.5616426512409948,-1,0.29214655321204697,0.12101416314795421,-1,0.22663637602898323,-1,0.437750615328925,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.10510342759846325,-0.06078880322793445,-0.07314582596173547,-1,-0.14858780258813242,-0.24634510042028746,-1,-0.19142115986055308,-1,-0.10334221271255761,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.2336628438422692,0.43326170102943484,0.44374347002303516,-1,0.3923965829114284,0.17636307414577246,-1,0.22769046279015426,-1,0.274896888516146,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.3935120495638653,0.17735287695836832,0.33260856787327553,-1,0.4356002968218844,0.1334081802817474,-1,0.18154364228741915,-1,0.1458413713772614,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.07368579934060271,0.18076228433710162,0.14384394303258874,-1,0.2963787513940235,0.05893739800514952,-1,0.20619141696585142,-1,0.1928178476320549,-1
carnival,0.33831618514538575,-0.06282531990563256,0.06252426764797592,-1,-0.06401768094057103,0.05092561297093012,-1,0.22243254440882676,-1,-0.028972935870177352,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.29214655321204697,0.6424352705750229,0.40197578110980814,-1,1.0,0.31854764521234213,-1,0.2862294120042719,-1,0.4907225963544122,-1
suffered,0.13935725715949876,0.4494481670631094,0.3416779155044507,-1,0.38866880592902064,0.11470413861336337,-1,0.4827320571872885,-1,0.43389856519477976,-1
sexual,0.29554527570212374,0.7123584806365063,0.3563799011418092,-1,0.5367988936322846,0.2314465347970529,-1,0.3697100844310327,-1,0.784711356510159,-1
assaults,0.437750615328925,0.6589173493897864,0.5078043119093318,-1,0.4907225963544122,0.1434321201448161,-1,0.3698452402887893,-1,1.0,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.5296884909389946,0.4747526080594997,0.3575661105310288,-1,0.24163134279052612,-0.02594042313721423,-1,0.11049680815261054,-1,0.604066473442937,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.23440181142080763,0.36225405360567664,0.36318632743043233,-1,0.6036041139679529,0.15479392992606167,-1,0.3789658600578656,-1,0.2646912813699136,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.4128980076775275,0.1857180246505329,0.2506427996615539,-1,0.154067801631513,0.07398374388102791,-1,0.30874269543975963,-1,0.17489394412237758,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
