model,the,new,year,unrest,in,cologne,fuelled,german,unease,about,a,huge,influx,of,asylum,seekers,.
cologne,-1,-1,0.23440181142080763,0.29691025992771325,-1,1.0,0.1958181886976753,0.3630100700744032,0.017473535398715656,-1,-1,0.07258984716235817,0.23716866679134097,-1,0.19197264010350223,0.22576684610041609,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,-0.013559823938384508,0.020046873651429653,-1,-0.10510342759846325,0.204438696734627,-0.1557832047563079,0.049659945917799875,-1,-1,0.11725675237835564,-0.008115047338576042,-1,-0.02181207033995536,0.0045349138207213535,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,0.3380483330150289,0.38773554981293856,-1,0.2336628438422692,0.25041093872226927,0.4965524308778809,0.16880613124103483,-1,-1,0.4031330295347151,0.05933719435197837,-1,0.1526130214202024,0.006800116471892159,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,0.46777863179315693,0.22497034323759624,-1,0.3935120495638653,0.08802349376806273,0.4693394284553176,-0.03926296151227193,-1,-1,0.4099375148899683,0.18751559927469819,-1,0.1476346762114764,0.14062536416040383,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,0.6410837983180415,0.1545851261214357,-1,0.07368579934060271,0.22399630373609458,0.2631990298236345,0.21238618151249888,-1,-1,0.35379339982106695,0.15632720398828637,-1,0.1692378166078623,0.08707239129556299,-1
carnival,-1,-1,0.28522167081114125,0.060722731329558965,-1,0.33831618514538575,0.16394236312524324,0.037894211436002356,0.14520236212968052,-1,-1,0.1744243188877148,0.15732536325086022,-1,0.024707195492080336,0.09410110632934299,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,0.6036041139679529,0.26299463024917746,-1,0.29214655321204697,0.134423869268665,0.49634033670308697,0.1420096116725179,-1,-1,0.3201969562312186,0.1727583156056105,-1,0.2992044285134441,0.2859935193353089,-1
suffered,-1,-1,0.3583978832800766,0.2648520614876405,-1,0.13935725715949876,0.23667540795761743,0.32414096051363894,0.12678715984283995,-1,-1,0.3910883518433108,0.19708870878886997,-1,0.04962937334878981,0.08616765158615447,-1
sexual,-1,-1,0.2563836676391221,0.34770518950711127,-1,0.29554527570212374,0.24038997565783848,0.23995516191838762,0.21403683146742392,-1,-1,0.22442275681152823,0.18302533443717528,-1,0.02429141073540453,-0.07465642922504889,-1
assaults,-1,-1,0.2646912813699136,0.33974948613446576,-1,0.437750615328925,0.2198797104812492,0.15809413011003415,0.20407740269813024,-1,-1,0.16967488015996401,0.08364086561990791,-1,-0.04721918781359413,-0.07795339039754534,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,0.08024595660525735,0.3627078019097658,-1,0.5296884909389946,0.19101573183319664,0.1954440320639922,0.186426696589848,-1,-1,0.14084894606136145,0.23371978376551372,-1,0.07602105075922538,0.10150080364592351,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,1.0,0.30161420812360906,-1,0.23440181142080763,0.28685816578131673,0.4689441809057735,0.06028185213827786,-1,-1,0.3877811282334549,0.26351333285756495,-1,0.333822196995629,0.335802739104758,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,0.5661810285144305,0.23077894503014595,-1,0.4128980076775275,0.2199022536083366,0.11595692707644034,0.043673547550904246,-1,-1,0.11987078639636017,0.18233340386594565,-1,0.18219153766147245,0.21800375923982984,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
