model,she,said,she,was,going,to,the,carnival,celebrations,``,but,with,really,mixed,feelings,'',.
cologne,-1,-1,-1,-1,0.03419442192729272,-1,-1,0.33831618514538575,0.36707948037139637,-1,-1,-1,-0.03438067237493536,0.1584992453508055,0.03388239605640708,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,-1,-1,-0.029616883158759544,-1,-1,0.03957657859172459,-0.05858686311959893,-1,-1,-1,-0.05103110393735899,0.09002270143116264,0.04783687306123108,-1,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,-1,-1,0.3387203981833349,-1,-1,-0.021252270904129844,0.1290155921553261,-1,-1,-1,0.29092876957249847,0.22865490136124866,0.2458978817998999,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,-1,-1,0.40715558201933333,-1,-1,0.23665521845235882,0.3291273559406094,-1,-1,-1,0.34507043599468323,0.10655886077834409,0.06706795110518193,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,-1,-1,0.24720321825405378,-1,-1,0.3506385243362773,0.4774707477028899,-1,-1,-1,0.1318081874232243,0.32207528983883627,0.187703666579625,-1,-1
carnival,-1,-1,-1,-1,0.15936938090541164,-1,-1,1.0,0.5289343832829154,-1,-1,-1,0.13310988896278209,0.10286401043902416,0.006682857445857504,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,-1,-1,0.5291403924775566,-1,-1,-0.06401768094057103,0.25660606023267585,-1,-1,-1,0.4953342289858479,0.31201145969699995,0.3489830199626729,-1,-1
suffered,-1,-1,-1,-1,0.2576933403012258,-1,-1,-0.08116575680533678,0.08229123900278812,-1,-1,-1,0.2928934788077222,0.24991149381688693,0.2939905584324902,-1,-1
sexual,-1,-1,-1,-1,0.22554897290381515,-1,-1,-0.15701264799792636,0.12691291665745574,-1,-1,-1,0.23573698613338934,0.2699532871310575,0.3734146307128512,-1,-1
assaults,-1,-1,-1,-1,0.13286982124153512,-1,-1,-0.028972935870177352,0.24333920521511776,-1,-1,-1,0.17686567635306316,0.3235749696138115,0.37189976529890834,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,-1,-1,-0.03494358896777028,-1,-1,0.08490067720192673,0.2396218888350259,-1,-1,-1,-0.090940936538356,0.32118989545240484,0.1914751842562744,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,-1,-1,0.5438839391301574,-1,-1,0.28522167081114125,0.5375591698959615,-1,-1,-1,0.4388726937330363,0.2517937921140625,0.17719563513212266,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,-1,-1,0.1948336737093762,-1,-1,0.4377983924370761,0.591581842566342,-1,-1,-1,0.11631026859328764,0.17531334059700554,0.14054856308859764,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
